dtype,batch_size,input_len,output_len,model,num_gpus,total_time_s,total_output_tokens,throughput_tps,throughput_rps,ttft_s_est,tpot_ms,tbt_ms,ttl_s,mean_gpu_util,max_gpu_util,mean_power_W,peak_power_W,mean_mem_util,mean_sm_clock_MHz,mem_bw_util_pct,mem_used_GB,arith_intensity
fp8,1,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.5071468092501163,128,252.39239933159578,1.971815619778092,0.1521440427750349,2.773459113086574,2.773459113086574,0.5071468092501163,22.5625,99,225.919625,296.47,7.625,1965.0,7.625,0.0,2.0
fp8,2,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.5067838709801435,256,505.14630527779843,3.9464555099828003,0.15203516129404307,1.38573714721133,1.38573714721133,0.5067838709801435,99.0,99,384.6229090909091,460.868,34.0,1965.0,34.0,0.0,4.0
fp8,4,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.49700209219008684,512,1030.17674984792,8.048255858186875,0.14910062765702606,0.6794950479161344,0.6794950479161344,0.49700209219008684,80.6,99,452.31329999999997,460.868,27.2,1965.0,27.2,0.0,8.0
fp8,8,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.4920365447178483,1024,2081.1462298744477,16.258954920894123,0.14761096341535448,0.3363531067407166,0.3363531067407166,0.4920365447178483,93.0,99,451.4253,452.782,31.0,1965.0,31.0,0.0,16.0
fp8,16,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.5021286495029926,2048,4078.636026896916,31.864343960132157,0.15063859485089778,0.17162600324809318,0.17162600324809318,0.5021286495029926,99.0,99,467.84854545454544,472.791,33.45454545454545,1965.0,33.45454545454545,0.0,32.0
fp8,32,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.5200147125869989,4096,7876.700218005342,61.53672045316674,0.15600441377609967,0.08886970185812972,0.08886970185812972,0.5200147125869989,75.36363636363636,99,468.51218181818183,476.836,25.272727272727273,1965.0,25.272727272727273,0.0,64.0
fp8,1,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.48026666697114706,128,266.51860060837794,2.0821765672529526,0.1440800000913441,2.6264583349984605,2.6264583349984605,0.48026666697114706,84.6,99,472.2985,476.836,28.4,1965.0,28.4,0.0,2.0
fp8,2,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.48622203059494495,256,526.5084341957037,4.113347142153935,0.1458666091784835,1.3295133649080526,1.3295133649080526,0.48622203059494495,99.0,99,472.88409999999993,479.08,34.0,1965.0,34.0,0.0,4.0
fp8,4,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.4987734565511346,512,1026.5181381950895,8.019672954649137,0.14963203696534036,0.6819168351285044,0.6819168351285044,0.4987734565511346,89.0,99,470.2246,471.694,29.7,1965.0,29.7,0.0,8.0
fp8,8,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.5032117031514645,1024,2034.9288253571888,15.897881448103037,0.15096351094543933,0.3439923752011964,0.3439923752011964,0.5032117031514645,99.0,99,473.55181818181825,475.685,33.0,1965.0,33.0,0.0,16.0
