ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047634.3112855,0,82,23,24824.905728,192265.846784,929.944,42,1755,3996,82,0.0,0.0,2.136,1.601,0
1776047634.3601413,1,66,13,12434.931712,192265.846784,647.359,34,1905,3996,66,0.0,0.0,19.847,11.472,0
1776047634.4032686,0,0,0,24824.905728,192265.846784,870.292,40,1957,3996,0,0.0,0.0,2.123,1.511,0
1776047634.446226,1,0,7,12434.931712,192265.846784,659.274,33,1957,3996,0,0.0,0.0,18.155,10.124,0
1776047634.489158,0,0,0,24824.905728,192265.846784,787.059,39,1957,3996,0,0.0,0.0,2.09,1.592,0
1776047634.5320938,1,0,7,12434.931712,192265.846784,680.887,33,1965,3996,0,0.0,0.0,18.252,8.712,0
1776047634.5750995,0,99,11,24824.905728,192265.846784,712.997,38,1965,3996,99,0.0,0.0,2.103,1.557,0
1776047634.6178744,1,0,7,12434.931712,192265.846784,671.445,33,1965,3996,0,0.0,0.0,18.035,8.815,0
1776047634.6608655,0,99,11,24824.905728,192265.846784,672.002,38,1965,3996,99,0.0,0.0,2.175,1.484,0
1776047634.7035546,1,0,13,12434.931712,192265.846784,671.445,33,1965,3996,0,0.0,0.0,18.075,8.822,0
1776047634.7463953,0,99,11,24824.905728,192265.846784,582.437,38,1965,3996,99,0.0,0.0,2.09,2.977,0
1776047634.7899628,1,0,13,12434.931712,192265.846784,585.077,32,1965,3996,0,0.0,0.0,18.149,8.967,0
1776047634.8331392,0,99,11,24824.905728,192265.846784,512.214,38,1965,3996,99,0.0,0.0,2.098,1.898,0
1776047634.875961,1,0,13,12434.931712,192265.846784,518.465,32,1965,3996,0,0.0,0.0,18.09,8.944,0
1776047634.9188774,0,99,11,24824.905728,192265.846784,467.469,37,1965,3996,99,0.0,0.0,2.086,1.53,0
1776047634.9617174,1,0,13,12434.931712,192265.846784,440.732,32,1965,3996,0,0.0,0.0,18.239,10.254,0
1776047635.004489,0,99,11,24824.905728,192265.846784,467.469,37,1965,3996,99,0.0,0.0,1.929,1.553,0
1776047635.0472913,1,0,13,12434.931712,192265.846784,408.505,32,1965,3996,0,0.0,0.0,18.428,10.175,0
1776047635.0901482,0,99,11,24824.905728,192265.846784,418.431,37,1965,3996,99,0.0,0.0,2.055,1.635,0
1776047635.132986,1,0,13,12434.931712,192265.846784,355.511,32,1965,3996,0,0.0,0.0,18.467,8.791,0
1776047635.1760302,0,99,11,24824.905728,192265.846784,363.725,37,1965,3996,99,0.0,0.0,2.103,1.647,0
1776047635.2187462,1,0,13,12434.931712,192265.846784,321.826,32,1965,3996,0,0.0,0.0,18.226,8.833,0
1776047635.2649736,0,99,11,24824.905728,192265.846784,347.537,37,1965,3996,99,0.0,0.0,2.167,1.58,0
1776047635.3078167,1,0,13,12434.931712,192265.846784,338.698,32,1965,3996,0,0.0,0.0,18.237,8.783,0
1776047635.350667,0,99,11,24824.905728,192265.846784,369.575,37,1965,3996,99,0.0,0.0,2.097,2.999,0
1776047635.3934455,1,0,13,12434.931712,192265.846784,338.698,32,1965,3996,0,0.0,0.0,18.342,8.774,0
1776047635.4362206,0,99,11,24824.905728,192265.846784,371.439,37,1965,3996,99,0.0,0.0,2.007,2.987,0
1776047635.4790382,1,0,13,12434.931712,192265.846784,341.109,32,1965,3996,0,0.0,0.0,18.44,8.874,0
1776047635.5218697,0,99,11,24824.905728,192265.846784,371.302,37,1965,3996,99,0.0,0.0,2.047,1.546,0
1776047635.5645633,1,0,13,12434.931712,192265.846784,340.988,32,1965,3996,0,0.0,0.0,18.388,9.005,0
1776047635.6074395,0,99,11,24824.905728,192265.846784,371.302,37,1965,3996,99,0.0,0.0,1.916,1.535,0
1776047635.6502657,1,0,13,12434.931712,192265.846784,340.917,32,1965,3996,0,0.0,0.0,18.186,10.216,0
1776047635.6931043,0,99,11,24824.905728,192265.846784,371.21,37,1965,3996,99,0.0,0.0,2.072,1.641,0
