M,N,K,path,ms,tflops,ai,mem_bytes,mem_bw_util,mfu
1,4096,14336,bf16,0.025855964049696922,4.5421053252654335,0.999686203409923,117477376,56.79413837277566,0.20187134778957483
1,4096,14336,fp8_native,0.02263760194182396,5.187851270722431,1.9992329951539238,58742784,32.43650992216524,0.1152855837938318
1,4096,14336,int8_native,0.03903084434568882,3.00891548642534,1.9989542301390875,58750976,18.81556016302571,0.06686478858722977
1,4096,14336,int8_dequant,0.36675935611128807,0.3202113594189109,0.3999497830908508,293638144,10.007861391506655,0.014231615974173818
8,4096,14336,bf16,0.02636509481817484,35.63514952172055,7.979961035346507,117735424,55.81974235819873,1.58378442318758
8,4096,14336,fp8_native,0.020720516331493855,45.34269711088153,15.95104311543811,58900480,35.53270527727816,1.0076154913529227
8,4096,14336,int8_native,0.039018881507217884,24.078703943018017,15.933314809669353,58966016,18.8902185692753,0.5350823098448448
8,4096,14336,int8_dequant,0.36551522091031075,2.57041032015063,3.1967889396811238,293896192,10.050750802800206,0.11424045867336134
32,4096,14336,bf16,0.030932738445699215,121.49252128443588,31.681767955801106,118620160,47.93471494943432,5.399667612641594
32,4096,14336,fp8_native,0.017576091922819614,213.8186577825495,63.22381477398015,59441152,42.274153051926184,4.7515257285011
32,4096,14336,int8_native,0.03899479750543833,96.37430181489941,62.94621295279912,59703296,19.13822478231667,2.141651151442209
32,4096,14336,int8_dequant,0.37091123405843973,10.132064059855045,12.748777234326367,294780928,9.934348872861152,0.45031395821577974
128,4096,14336,bf16,0.02683714497834444,560.1335592191347,123.05579399141631,122159104,56.898332562281304,24.894824854183764
128,4096,14336,fp8_native,0.021877773106098175,687.1076623337818,244.01702127659576,61603840,35.19773224932834,15.269059162972928
128,4096,14336,int8_native,0.04019681829959154,373.9695371897818,239.93305439330544,62652416,19.483014654619023,8.31043415977293
128,4096,14336,int8_dequant,0.3688097419217229,40.759187806895056,50.390158172231985,298319872,10.11089994686597,1.8115194580842247
512,4096,14336,bf16,0.047823283821344376,1257.327756258409,441.10769230769233,136314880,35.629841028179314,55.88123361148484
512,4096,14336,fp8_native,0.02445148304104805,2459.1368156711487,855.8805970149253,70254592,35.91530209131883,54.64748479269219
512,4096,14336,int8_native,0.03925569821149111,1531.7404831280928,807.6619718309859,74448896,23.706397858122603,34.03867740284651
512,4096,14336,int8_dequant,0.3868770832195878,155.42285845313572,192.4295302013423,312475648,10.096089350898623,6.907682597917144
2048,4096,14336,bf16,0.15317377168685198,1570.2307642310634,1246.608695652174,192937984,15.74502457855855,69.78803396582504
2048,4096,14336,fp8_native,0.08199818432331085,2933.213345647512,2293.76,104857600,15.984744184480459,65.18251879216693
2048,4096,14336,int8_native,0.0900166342034936,2671.930257159797,1977.3793103448277,121634816,16.890602647538124,59.376227936884376
2048,4096,14336,int8_dequant,0.5922463489696383,406.1116948959532,651.6363636363636,369098752,7.790228522348433,18.049408662042364
