ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776051210.5042577,0,0,0,2806.90688,192265.846784,202.702,40,1965,3996,0,0.0,0.0,0.726,0.725,0,0.202702,45.0,0.0
1776051210.5537953,0,0,0,2806.90688,192265.846784,202.702,40,1965,3996,0,0.0,0.0,0.707,0.641,0,0.202702,45.0,10.041382492065429
1776051210.6038582,0,0,0,2806.90688,192265.846784,202.592,40,1965,3996,0,0.0,0.0,2358.425,5.892,0,0.20259200000000002,45.0,20.18372447967529
1776051210.654269,0,0,0,2941.124608,192265.846784,202.592,40,1965,3996,0,0.0,0.0,22.241,16.56,0,0.20259200000000002,45.0,30.3965386428833
1776051210.7046776,0,0,0,2989.359104,192265.846784,202.82,40,1965,3996,0,0.0,0.0,210.883,37.217,0,0.20282,45.0,40.62041125202179
1776051210.7552783,0,0,0,2989.359104,192265.846784,202.82,40,1965,3996,0,0.0,0.0,179.454,37.409,0,0.20282,45.0,50.88325884246826
1776051210.804887,0,53,1,2989.359104,192265.846784,208.4,40,1965,3996,53,0.0,0.0,219.515,38.428,0,0.2084,45.0,61.22171347045898
1776051210.8547533,0,53,1,2989.359104,192265.846784,208.4,40,1965,3996,53,0.0,0.0,220.211,38.335,0,0.2084,45.0,71.61382944488525
1776051210.904915,0,53,1,2989.359104,192265.846784,216.134,40,1965,3996,53,0.0,0.0,221.554,38.407,0,0.216134,45.0,82.45550825405121
1776051210.9548388,0,53,1,2989.359104,192265.846784,216.134,40,1965,3996,53,0.0,0.0,219.954,38.123,0,0.216134,45.0,93.2457082324028
1776051211.005006,0,59,1,2989.359104,192265.846784,222.142,40,1965,3996,59,0.0,0.0,219.009,38.266,0,0.222142,45.0,104.38997751140595
1776051211.0549629,0,59,1,2989.359104,192265.846784,222.142,40,1965,3996,59,0.0,0.0,191.064,37.84,0,0.222142,45.0,115.48748065567017
1776051211.105153,0,59,1,2989.359104,192265.846784,230.961,40,1965,3996,59,0.0,0.0,211.224,35.129,0,0.230961,45.0,127.07946182656289
1776051211.1551962,0,59,1,2989.359104,192265.846784,230.961,40,1965,3996,59,0.0,0.0,228.131,37.878,0,0.230961,45.0,138.63746764969827
1776051211.2052224,0,56,1,2989.359104,192265.846784,237.679,40,1965,3996,56,0.0,0.0,220.223,38.7,0,0.237679,45.0,150.5276396961212
1776051211.2552083,0,56,1,2989.359104,192265.846784,237.679,41,1965,3996,56,0.0,0.0,220.808,38.425,0,0.237679,44.0,162.40823500442505
1776051211.3053098,0,56,1,2989.359104,192265.846784,245.176,41,1965,3996,56,0.0,0.0,220.462,38.557,0,0.24517599999999998,44.0,174.69192493629455
1776051211.3554137,0,56,1,2989.359104,192265.846784,245.176,41,1965,3996,56,0.0,0.0,220.743,38.411,0,0.24517599999999998,44.0,186.97619941329955
1776051211.4053264,0,59,1,2989.359104,192265.846784,252.424,41,1965,3996,59,0.0,0.0,218.911,36.944,0,0.252424,44.0,199.57536055564879
1776051211.4553835,0,59,1,2989.359104,192265.846784,252.424,40,1965,3996,59,0.0,0.0,208.992,36.574,0,0.252424,45.0,212.21099233627316
1776051211.5055783,0,59,1,2989.359104,192265.846784,260.067,40,1965,3996,59,0.0,0.0,197.532,36.673,0,0.260067,45.0,225.2649878606796
1776051211.5555727,0,59,1,2989.359104,192265.846784,260.067,40,1965,3996,59,0.0,0.0,219.204,38.54,0,0.260067,45.0,238.26689934921262
