ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051210.504276,10.4,287.508717568,20710.011557,361.669582,12161259.682304,20707876.281344,,,,
1776051210.553814,6.0,287.508717568,20710.011728,361.669687,12161259.682304,20707876.281344,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051210.6038759,6.7,287.886204928,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.6543045,6.1,288.30306304,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.7047017,12.4,288.605827072,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.7553008,36.6,288.154558464,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.8049045,6.8,287.501512704,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.8547664,6.3,287.501070336,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.9049268,6.7,287.501070336,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051210.9548526,6.6,287.501299712,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051211.0050223,7.4,288.009068544,20710.011728,361.669687,12161259.682304,20707876.281344,0.0,0.0,0.0,0.0
1776051211.0549831,12.9,288.467505152,20710.011728,361.669687,12161259.682304,20707876.867072,0.0,0.0,0.0,0.5857280008494854
1776051211.1051843,33.0,288.288759808,20710.011728,361.669687,12161259.682304,20707876.867072,0.0,0.0,0.0,0.0
1776051211.1552145,12.4,287.507472384,20710.011728,361.669687,12161259.682304,20707876.871168,0.0,0.0,0.0,0.004095997661352158
1776051211.2052379,7.3,287.507279872,20710.011728,361.669687,12161259.682304,20707876.871168,0.0,0.0,0.0,0.0
