ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050926.2008343,0,0,0,3100.50816,192265.846784,196.406,34,1965,3996,0,0.0,0.0,0.648,0.72,0,0.196406,51.0,0.0
1776050926.242941,1,0,0,2710.437888,192265.846784,190.488,29,1965,3996,0,0.0,0.0,0.644,0.707,0,0.190488,56.0,0.0
1776050926.286419,0,0,0,3100.50816,192265.846784,196.392,34,1965,3996,0,0.0,0.0,0.688,0.64,0,0.19639199999999998,51.0,16.808138717651367
1776050926.330025,1,0,0,2710.437888,192265.846784,190.53,29,1965,3996,0,0.0,0.0,0.697,0.642,0,0.19053,56.0,16.592124989032744
1776050926.374213,0,0,0,3100.50816,192265.846784,196.388,34,1965,3996,0,0.0,0.0,1.063,131.081,0,0.196388,51.0,34.04983964824677
1776050926.4172714,1,0,0,2710.437888,192265.846784,190.53,29,1965,3996,0,0.0,0.0,26.334,4.113,0,0.19053,56.0,33.215185010433196
1776050926.462039,0,2,0,3108.896768,192265.846784,197.076,34,1965,3996,2,0.0,0.0,42.996,11.853,0,0.197076,51.0,51.35823909759522
1776050926.5048192,1,1,0,2781.741056,192265.846784,190.493,29,1965,3996,1,0.0,0.0,39.765,8.185,0,0.190493,56.0,49.89242409133911
1776050926.549427,0,2,0,3129.868288,192265.846784,203.986,34,1965,3996,2,0.0,0.0,49.02,11.57,0,0.203986,51.0,69.18417554664612
1776050926.5922883,1,1,0,2781.741056,192265.846784,195.952,29,1965,3996,1,0.0,0.0,39.227,7.336,0,0.195952,56.0,67.0321693611145
1776050926.6368256,0,2,0,3129.868288,192265.846784,212.551,34,1965,3996,2,0.0,0.0,59.903,10.603,0,0.212551,51.0,87.76082029533386
1776050926.679427,1,12,1,2781.741056,192265.846784,201.122,29,1965,3996,12,0.0,0.0,39.241,7.052,0,0.20112200000000002,56.0,84.55766948986053
1776050926.7239645,0,22,4,3129.868288,192265.846784,212.551,34,1965,3996,22,0.0,0.0,62.756,10.028,0,0.212551,51.0,106.2822787630558
1776050926.7667663,1,12,1,2781.741056,192265.846784,208.58,29,1965,3996,12,0.0,0.0,39.245,7.692,0,0.20858000000000002,56.0,102.77492180156707
1776050926.8109694,0,22,4,3129.868288,192265.846784,221.47,35,1965,3996,22,0.0,0.0,60.316,10.153,0,0.22147,50.0,125.55125396132469
1776050926.8536744,1,13,1,2781.741056,192265.846784,214.258,29,1965,3996,13,0.0,0.0,39.205,7.18,0,0.214258,56.0,121.39567792749405
1776050926.8983693,0,23,4,3129.868288,192265.846784,230.713,35,1965,3996,23,0.0,0.0,59.446,10.136,0,0.230713,50.0,145.71556083226204
1776050926.9412704,1,13,1,2781.741056,192265.846784,221.176,30,1965,3996,13,0.0,0.0,26.213,6.932,0,0.22117599999999998,55.0,140.76979747247697
1776050926.9855409,0,23,4,3129.868288,192265.846784,238.842,35,1965,3996,23,0.0,0.0,60.358,9.653,0,0.23884200000000003,50.0,166.5357892677784
1776050927.0283024,1,13,1,2781.741056,192265.846784,226.742,30,1965,3996,13,0.0,0.0,37.306,7.507,0,0.226742,55.0,160.50362528705597
1776050927.0723972,0,22,4,3129.868288,192265.846784,247.42,35,1965,3996,22,0.0,0.0,60.401,10.1,0,0.24742,50.0,188.0257911465168
1776050927.114955,1,12,1,2781.741056,192265.846784,226.742,30,1965,3996,12,0.0,0.0,38.504,8.888,0,0.226742,55.0,180.15139036893845
1776050927.1587887,0,22,4,3129.868288,192265.846784,255.113,35,1965,3996,22,0.0,0.0,59.832,11.275,0,0.255113,50.0,210.06537286877634
1776050927.2013526,1,12,1,2781.741056,192265.846784,234.571,30,1965,3996,12,0.0,0.0,35.722,8.932,0,0.234571,55.0,200.41777302455904
1776050927.2451699,0,22,4,3129.868288,192265.846784,265.71,35,1965,3996,22,0.0,0.0,58.882,10.219,0,0.26571,50.0,233.0177207171917
