ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776050926.2429626,10.8,286.756253696,20709.855936,360.982531,12161259.682304,20707833.5872,,,,
1776050926.3300364,7.1,286.70480384,20709.855936,360.982531,12161259.682304,20707833.5872,0.0,0.0,0.0,0.0
1776050926.4172833,10.0,287.294246912,20709.855936,360.982531,12161259.682304,20707833.603584,0.0,0.0,0.0,0.016383998095989227
1776050926.50483,8.9,287.531831296,20709.855936,360.982531,12161259.682304,20707833.603584,0.0,0.0,0.0,0.0
1776050926.5923078,21.8,286.720827392,20709.855936,360.982531,12161259.682304,20707833.603584,0.0,0.0,0.0,0.0
1776050926.6794417,6.7,286.720741376,20709.856088,360.982833,12161259.682304,20707833.673216,0.0001520000005257316,0.00030200000003333116,0.0,0.06963200122117996
1776050926.7667778,6.5,286.889029632,20709.856154,360.982833,12161259.682304,20707833.673216,6.600000051548705e-05,0.0,0.0,0.0
1776050926.8536885,10.1,287.6560384,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.004096001386642456
1776050926.9412925,22.8,287.164444672,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.028324,6.8,286.786449408,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.1149654,6.5,286.73316864,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.2013628,6.7,286.733684736,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.2878904,10.7,287.500324864,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.3761919,25.5,287.413874688,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.4639485,6.9,286.715936768,20709.856154,360.982833,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.5512106,6.4,286.715785216,20709.856688,360.983393,12161259.682304,20707833.677312,0.0005339999988791533,0.000559999999950378,0.0,0.0
1776050927.6378665,7.9,287.181869056,20709.856754,360.983393,12161259.682304,20707833.677312,6.600000051548705e-05,0.0,0.0,0.0
1776050927.7244794,15.9,287.66408704,20709.856754,360.983393,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.8135188,16.0,286.74648064,20709.856754,360.983393,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.9023178,6.8,286.746107904,20709.856754,360.983393,12161259.682304,20707833.677312,0.0,0.0,0.0,0.0
1776050927.9895184,6.7,286.813474816,20709.857557,360.98369,12161259.682304,20707833.677312,0.0008029999989958014,0.00029700000004595495,0.0,0.0
1776050928.0768523,10.4,287.61587712,20709.858189,360.983882,12161259.682304,20707833.677312,0.0006319999993138481,0.00019199999996999395,0.0,0.0
1776050928.1657395,23.1,287.191822336,20709.858189,360.983882,12161259.682304,20707833.737728,0.0,0.0,0.0,0.060415998101234436
1776050928.253953,7.4,286.771113984,20709.858189,360.983882,12161259.682304,20707833.737728,0.0,0.0,0.0,0.0
1776050928.3407302,6.9,286.774816768,20709.858189,360.983882,12161259.682304,20707833.741824,0.0,0.0,0.0,0.004096001386642456
1776050928.4271998,8.5,287.291199488,20709.858189,360.983882,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050928.514861,15.5,287.712690176,20709.85836,360.983987,12161259.682304,20707833.741824,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776050928.6046505,15.4,286.737035264,20709.85836,360.983987,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050928.6925616,6.8,286.736781312,20709.85836,360.983987,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050928.7805104,6.7,287.018057728,20709.85836,360.983987,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050928.87171,9.9,287.788167168,20709.858531,360.984092,12161259.682304,20707833.741824,0.00017100000331993215,0.00010499999996227416,0.0,0.0
1776050928.959324,24.0,286.810054656,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.0470536,6.5,286.744272896,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.1343253,6.6,286.744735744,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.221945,9.0,287.580434432,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.3090768,24.2,287.36086016,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.396229,6.8,286.775005184,20709.858531,360.984092,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.4842856,6.8,286.77500928,20709.858531,360.98421,12161259.682304,20707833.741824,0.0,0.00011800000004313915,0.0,0.0
1776050929.5719204,6.7,287.317078016,20709.858625,360.984276,12161259.682304,20707833.741824,9.399999908055179e-05,6.600000000389628e-05,0.0,0.0
1776050929.6586585,9.8,287.868596224,20709.858625,360.984276,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.7468977,23.7,286.731534336,20709.858625,360.984276,12161259.682304,20707833.741824,0.0,0.0,0.0,0.0
1776050929.8349931,6.5,286.730317824,20709.858625,360.984276,12161259.682304,20707833.74592,0.0,0.0,0.0,0.004095997661352158
1776050929.9230936,6.7,286.85195264,20709.858796,360.984381,12161259.682304,20707833.74592,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776050930.0104575,10.4,287.726174208,20709.858962,360.984481,12161259.682304,20707833.74592,0.00016599999798927456,0.00010000000003174137,0.0,0.0
1776050930.0975323,23.7,286.868570112,20709.858962,360.984481,12161259.682304,20707833.74592,0.0,0.0,0.0,0.0
1776050930.1848547,6.7,286.760849408,20709.858962,360.984481,12161259.682304,20707833.74592,0.0,0.0,0.0,0.0
