ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050948.160329,0,0,0,2792.226816,192265.846784,196.414,34,1965,3996,0,0.0,0.0,0.691,2.17,0,0.19641399999999998,51.0,0.0
1776050948.2098763,0,0,0,2792.226816,192265.846784,196.35,34,1965,3996,0,0.0,0.0,0.624,0.643,0,0.19635,51.0,9.728591823577881
1776050948.260115,0,0,0,2792.226816,192265.846784,196.35,34,1965,3996,0,0.0,0.0,0.677,2.112,0,0.19635,51.0,19.59294276237488
1776050948.3099878,0,0,0,2792.226816,192265.846784,196.313,34,1965,3996,0,0.0,0.0,0.637,0.641,0,0.196313,51.0,29.38363651418686
1776050948.3602548,0,0,0,2792.226816,192265.846784,196.313,34,1965,3996,0,0.0,0.0,0.681,2.177,0,0.196313,51.0,39.25169837975502
1776050948.4186938,0,0,0,2947.416064,192265.846784,196.269,34,1965,3996,0,0.0,0.0,7688.374,0.884,0,0.196269,51.0,50.721465678215026
1776050948.4618523,0,0,0,3025.010688,192265.846784,196.269,34,1965,3996,0,0.0,0.0,0.657,175.988,0,0.196269,51.0,59.192147436141965
1776050948.5118015,0,0,0,3025.010688,192265.846784,196.487,34,1965,3996,0,0.0,0.0,0.623,0.664,0,0.196487,51.0,69.00650983667373
1776050948.5618954,0,3,0,3025.010688,192265.846784,196.487,34,1965,3996,3,0.0,0.0,0.659,2.141,0,0.196487,51.0,78.84930785107612
1776050948.6118162,0,3,0,3025.010688,192265.846784,196.475,34,1965,3996,3,0.0,0.0,0.618,0.659,0,0.19647499999999998,51.0,88.65749651002884
1776050948.6621132,0,3,0,3025.010688,192265.846784,196.475,34,1965,3996,3,0.0,0.0,0.69,2.182,0,0.19647499999999998,51.0,98.53960388112068
1776050948.7126064,0,3,0,3025.010688,192265.846784,196.447,34,1965,3996,3,0.0,0.0,5687.871,195.526,0,0.196447,51.0,108.4588494694233
1776050948.763262,0,0,0,3190.685696,192265.846784,196.447,34,1965,3996,0,0.0,0.0,101.496,23.746,0,0.196447,51.0,118.40999079227448
1776050948.813021,0,0,0,3868.065792,192265.846784,197.335,34,1965,3996,0,0.0,0.0,152.972,24.116,0,0.197335,51.0,128.22916552066803
1776050948.8637872,0,0,0,3868.065792,192265.846784,197.335,35,1965,3996,0,0.0,0.0,159.078,27.716,0,0.197335,50.0,138.2471194446087
1776050948.9134521,0,0,0,3868.065792,192265.846784,222.727,35,1965,3996,0,0.0,0.0,158.47,24.033,0,0.222727,50.0,149.30885015606881
1776050948.963805,0,77,18,3868.065792,192265.846784,222.727,36,1965,3996,77,0.0,0.0,157.711,25.707,0,0.222727,49.0,160.52378087282182
1776050949.013536,0,77,18,3868.065792,192265.846784,246.494,36,1965,3996,77,0.0,0.0,159.981,23.821,0,0.246494,49.0,172.78217796993258
1776050949.0636756,0,77,18,3868.065792,192265.846784,246.494,37,1965,3996,77,0.0,0.0,157.684,25.03,0,0.246494,48.0,185.14130470323565
1776050949.1136458,0,77,18,3868.065792,192265.846784,276.538,37,1965,3996,77,0.0,0.0,143.894,23.129,0,0.276538,48.0,198.95995004224778
1776050949.163833,0,81,19,3868.065792,192265.846784,276.538,37,1965,3996,81,0.0,0.0,160.108,21.582,0,0.276538,48.0,212.83859331655503
1776050949.2139497,0,81,19,3868.065792,192265.846784,295.594,37,1965,3996,81,0.0,0.0,156.606,23.821,0,0.29559399999999997,48.0,227.6528120212555
1776050949.2641416,0,81,19,3868.065792,192265.846784,295.594,37,1965,3996,81,0.0,0.0,157.979,25.226,0,0.29559399999999997,48.0,242.48923038291932
1776050949.3139548,0,81,19,3868.065792,192265.846784,322.107,37,1965,3996,81,0.0,0.0,158.336,24.223,0,0.32210700000000003,48.0,258.53443352603915
1776050949.364351,0,77,18,3868.065792,192265.846784,322.107,37,1965,3996,77,0.0,0.0,158.827,25.243,0,0.32210700000000003,48.0,274.7674036061764
1776050949.4144607,0,77,18,3868.065792,192265.846784,346.183,37,1965,3996,77,0.0,0.0,160.053,24.501,0,0.346183,48.0,292.1145038700104
1776050949.4643538,0,77,18,3868.065792,192265.846784,346.183,38,1965,3996,77,0.0,0.0,159.156,24.961,0,0.346183,47.0,309.3866610291005
1776050949.5143576,0,77,18,3868.065792,192265.846784,368.613,38,1965,3996,77,0.0,0.0,141.832,24.102,0,0.368613,47.0,327.8186995992661
1776050949.5644226,0,81,19,3868.065792,192265.846784,368.613,38,1965,3996,81,0.0,0.0,157.455,22.044,0,0.368613,47.0,346.2733244056702
1776050949.614429,0,81,19,3868.065792,192265.846784,393.686,38,1965,3996,81,0.0,0.0,157.357,23.821,0,0.393686,47.0,365.96013990879067
1776050949.664557,0,81,19,3868.065792,192265.846784,393.686,38,1965,3996,81,0.0,0.0,157.388,25.514,0,0.393686,47.0,385.6948250608445
1776050949.7146008,0,81,19,3868.065792,192265.846784,422.185,38,1965,3996,81,0.0,0.0,157.715,23.936,0,0.422185,47.0,406.82257577109345
1776050949.764649,0,78,18,3868.065792,192265.846784,422.185,38,1965,3996,78,0.0,0.0,158.826,25.442,0,0.422185,47.0,427.9521383028031
1776050949.8147879,0,78,18,3868.065792,192265.846784,435.988,38,1965,3996,78,0.0,0.0,158.455,24.379,0,0.435988,47.0,449.8121189870835
1776050949.865075,0,78,18,3868.065792,192265.846784,435.988,38,1965,3996,78,0.0,0.0,148.184,24.266,0,0.435988,47.0,471.73675510311136
1776050949.914833,0,78,18,3868.065792,192265.846784,440.951,38,1965,3996,78,0.0,0.0,159.35,24.097,0,0.44095100000000004,47.0,493.6775762023927
1776050949.9652123,0,79,19,3868.065792,192265.846784,440.951,38,1965,3996,79,0.0,0.0,133.656,25.421,0,0.44095100000000004,47.0,515.8923684554101
1776050950.0149412,0,79,19,3868.065792,192265.846784,440.911,38,1965,3996,79,0.0,0.0,158.543,23.667,0,0.440911,47.0,537.8183744287492
1776050950.0652227,0,79,19,3868.065792,192265.846784,440.911,38,1965,3996,79,0.0,0.0,158.467,25.042,0,0.440911,47.0,559.9880517473222
1776050950.115361,0,79,19,3868.065792,192265.846784,440.26,38,1965,3996,79,0.0,0.0,158.58,21.36,0,0.44026,47.0,582.0619111289978
1776050950.1654363,0,80,19,3868.065792,192265.846784,440.26,38,1965,3996,80,0.0,0.0,160.658,25.604,0,0.44026,47.0,604.1080594434738
1776050950.2151353,0,80,19,3868.065792,192265.846784,439.768,38,1965,3996,80,0.0,0.0,156.616,23.81,0,0.439768,47.0,625.9641192102432
1776050950.26541,0,80,19,3868.065792,192265.846784,439.768,38,1965,3996,80,0.0,0.0,141.495,24.366,0,0.439768,47.0,648.0732841291427
1776050950.3154805,0,80,19,3868.065792,192265.846784,441.466,38,1965,3996,80,0.0,0.0,159.922,22.489,0,0.441466,47.0,670.1777181725502
1776050950.365633,0,79,19,3868.065792,192265.846784,441.466,38,1965,3996,79,0.0,0.0,153.894,25.143,0,0.441466,47.0,692.3183594875335
1776050950.4156513,0,79,19,3868.065792,192265.846784,441.775,38,1965,3996,79,0.0,0.0,157.447,24.112,0,0.441775,47.0,714.4151986293792
1776050950.466011,0,79,19,3868.065792,192265.846784,441.775,38,1965,3996,79,0.0,0.0,158.572,25.455,0,0.441775,47.0,736.6628665618896
