ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776050948.1603591,11.5,286.792032256,20709.869876,361.034382,12161259.682304,20707836.580352,,,,
1776050948.2098973,6.2,286.830739456,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.2601347,6.8,287.150657536,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.3100035,6.1,287.676678144,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.3602777,19.0,287.84060416,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.418711,24.0,287.0884352,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.4618664,6.5,286.776393728,20709.869876,361.034382,12161259.682304,20707836.580352,0.0,0.0,0.0,0.0
1776050948.5118144,6.6,286.803787776,20709.870047,361.034487,12161259.682304,20707836.580352,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776050948.561907,6.1,286.837850112,20709.870047,361.034487,12161259.682304,20707836.584448,0.0,0.0,0.0,0.004095997661352158
1776050948.6118279,6.7,286.871912448,20709.870047,361.034487,12161259.682304,20707836.584448,0.0,0.0,0.0,0.0
1776050948.6621249,6.1,287.412969472,20709.870047,361.034487,12161259.682304,20707836.59264,0.0,0.0,0.0,0.008192002773284912
1776050948.7126384,12.4,287.665369088,20709.870047,361.034487,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050948.763289,12.1,287.589892096,20709.870047,361.034487,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050948.8130512,33.3,287.162912768,20709.870047,361.034487,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050948.86381,6.6,286.780485632,20709.870218,361.034592,12161259.682304,20707836.59264,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776050948.9134707,6.3,286.779764736,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050948.9638221,6.8,286.779764736,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.0135536,6.0,286.90978816,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.063694,6.5,287.396585472,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.1136773,11.1,287.762264064,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.163865,29.0,287.695466496,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.2139752,17.5,286.894989312,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.264162,6.8,286.816161792,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.3139732,6.4,286.815444992,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.3643694,6.7,286.815444992,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.414479,6.2,287.025160192,20709.870218,361.034592,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.4643776,6.6,287.479693312,20709.870218,361.03471,12161259.682304,20707836.59264,0.0,0.00011800000004313915,0.0,0.0
1776050949.514394,11.9,287.751954432,20709.870312,361.034776,12161259.682304,20707836.59264,9.399999908055179e-05,6.600000000389628e-05,0.0,0.0
1776050949.564458,36.6,287.438589952,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.6144516,6.4,286.755463168,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.6645787,6.6,286.754955264,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.7146199,6.0,286.754316288,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.7646677,6.7,286.754545664,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.8148088,6.1,287.173976064,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.8651102,12.3,287.631929344,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.9148653,22.1,287.602163712,20709.870312,361.034776,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050949.9652386,21.7,286.995955712,20709.870483,361.034881,12161259.682304,20707836.59264,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776050950.0149648,6.8,286.798143488,20709.870483,361.034881,12161259.682304,20707836.59264,0.0,0.0,0.0,0.0
1776050950.0652425,6.5,286.797099008,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.004095997661352158
1776050950.115408,6.8,286.797099008,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.1654627,6.0,286.851883008,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.215154,6.3,287.351263232,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.2654412,12.4,287.758626816,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.315508,21.8,287.540383744,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.3656552,20.2,287.039320064,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.4156716,6.6,286.796828672,20709.870483,361.034881,12161259.682304,20707836.596736,0.0,0.0,0.0,0.0
1776050950.4660316,6.2,286.796414976,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.008192002773284912
1776050950.516014,6.6,286.796414976,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.566075,6.6,286.94740992,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.6159701,12.5,287.43026688,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.6663811,5.9,287.86724864,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.716006,38.5,287.446052864,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.766048,6.3,286.80384512,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.8161101,6.7,286.804594688,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.8665235,7.9,286.823084032,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.9163783,7.7,286.823858176,20709.870483,361.034881,12161259.682304,20707836.604928,0.0,0.0,0.0,0.0
1776050950.9664981,6.4,287.23122176,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.13516799733042717
1776050951.016749,12.9,287.693369344,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.0668447,23.7,287.613292544,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.1171143,16.7,287.024062464,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.166827,6.2,286.766338048,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.216986,6.7,286.765412352,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.2671645,6.2,286.765146112,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.3171864,6.6,286.800470016,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.3671145,6.3,287.312433152,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.4170861,12.5,287.783227392,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.4672194,27.2,287.520231424,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.517255,13.4,286.819721216,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.5673094,6.0,286.792794112,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.617258,6.9,286.792384512,20709.870483,361.034881,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.667402,6.4,286.792384512,20709.870635,361.035183,12161259.682304,20707836.740096,0.0001520000005257316,0.00030200000003333116,0.0,0.0
1776050951.7172704,6.8,287.063769088,20709.870743,361.035225,12161259.682304,20707836.740096,0.00010800000018207356,4.200000000764703e-05,0.0,0.0
1776050951.7675478,6.8,287.551082496,20709.870743,361.035225,12161259.682304,20707836.740096,0.0,0.0,0.0,0.0
1776050951.8279781,23.0,287.751319552,20709.870743,361.035225,12161259.682304,20707836.744192,0.0,0.0,0.0,0.004096001386642456
1776050951.8727803,22.0,287.14596352,20709.870743,361.035225,12161259.682304,20707836.744192,0.0,0.0,0.0,0.0
1776050951.9230213,6.1,286.79591936,20709.870743,361.035225,12161259.682304,20707836.744192,0.0,0.0,0.0,0.0
1776050951.9729462,7.2,286.795350016,20709.870743,361.035225,12161259.682304,20707836.87936,0.0,0.0,0.0,0.13516800105571747
1776050952.023349,6.2,286.795350016,20709.870743,361.035225,12161259.682304,20707836.887552,0.0,0.0,0.0,0.008191999047994614
1776050952.0730674,6.4,286.828756992,20709.870743,361.035225,12161259.682304,20707836.937728,0.0,0.0,0.0,0.050175998359918594
1776050952.1234226,6.5,287.344914432,20709.870743,361.035225,12161259.682304,20707836.937728,0.0,0.0,0.0,0.0
1776050952.1734061,11.2,287.716077568,20709.870743,361.035225,12161259.682304,20707836.937728,0.0,0.0,0.0,0.0
1776050952.2233524,16.2,287.621541888,20709.870743,361.035225,12161259.682304,20707836.937728,0.0,0.0,0.0,0.0
1776050952.27342,27.3,287.111122944,20709.870743,361.035225,12161259.682304,20707837.015552,0.0,0.0,0.0,0.07782400026917458
