ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050823.9044209,0,0,0,751.960064,192265.846784,145.526,31,120,3996,0,0.0,0.0,0.925,0.847,0,0.14552600000000002,54.0,0.0
1776050823.9502192,0,0,0,751.960064,192265.846784,145.526,31,120,3996,0,0.0,0.0,0.906,0.869,0,0.14552600000000002,54.0,6.66484365272522
1776050824.0004976,0,0,0,751.960064,192265.846784,145.529,31,120,3996,0,0.0,0.0,0.952,0.853,0,0.145529,54.0,13.981812596082687
1776050824.0503826,0,0,0,751.960064,192265.846784,145.529,31,120,3996,0,0.0,0.0,0.937,0.828,0,0.145529,54.0,21.241531790733337
1776050824.1006684,0,0,0,751.960064,192265.846784,145.57,31,120,3996,0,0.0,0.0,0.941,0.887,0,0.14557,54.0,28.561638053894043
1776050824.1505387,0,0,0,751.960064,192265.846784,145.57,31,120,3996,0,0.0,0.0,0.913,0.837,0,0.14557,54.0,35.82125072622299
1776050824.2007077,0,0,0,751.960064,192265.846784,145.55,31,120,3996,0,0.0,0.0,0.983,0.878,0,0.14555,54.0,43.123347379207615
1776050824.2507763,0,0,0,751.960064,192265.846784,145.55,31,120,3996,0,0.0,0.0,0.933,0.816,0,0.14555,54.0,50.41083456420899
1776050824.300928,0,0,0,751.960064,192265.846784,145.564,31,120,3996,0,0.0,0.0,0.978,0.887,0,0.145564,54.0,57.71113481140137
1776050824.350771,0,0,0,751.960064,192265.846784,145.564,31,120,3996,0,0.0,0.0,0.944,0.847,0,0.145564,54.0,64.96645716857911
1776050824.4009454,0,0,0,751.960064,192265.846784,145.564,31,120,3996,0,0.0,0.0,0.952,0.88,0,0.145564,54.0,72.27005440616608
1776050824.4509773,0,0,0,751.960064,192265.846784,145.564,31,120,3996,0,0.0,0.0,0.988,0.834,0,0.145564,54.0,79.55289795684816
1776050824.5011077,0,0,0,751.960064,192265.846784,145.545,31,120,3996,0,0.0,0.0,0.947,0.855,0,0.14554499999999998,54.0,86.84912226247789
1776050824.5510573,0,0,0,751.960064,192265.846784,145.545,31,120,3996,0,0.0,0.0,0.949,0.832,0,0.14554499999999998,54.0,94.11904348897936
1776050824.601187,0,0,0,751.960064,192265.846784,145.584,31,120,3996,0,0.0,0.0,0.966,0.845,0,0.145584,54.0,101.41711874914171
1776050824.6550186,0,0,0,751.960064,192265.846784,145.584,31,120,3996,0,0.0,0.0,11.728,2.28,0,0.145584,54.0,109.25413509893419
1776050824.7012947,0,0,0,751.960064,192265.846784,145.584,31,120,3996,0,0.0,0.0,0.935,0.857,0,0.145584,54.0,115.99119375371934
1776050824.751446,0,0,0,751.960064,192265.846784,145.584,31,120,3996,0,0.0,0.0,1.047,0.825,0,0.145584,54.0,123.2924276175499
1776050824.8015015,0,0,0,751.960064,192265.846784,145.577,31,120,3996,0,0.0,0.0,0.95,0.833,0,0.145577,54.0,130.57935770082474
1776050824.851493,0,0,0,751.960064,192265.846784,145.577,31,120,3996,0,0.0,0.0,0.939,0.825,0,0.145577,54.0,137.8569512617588
