ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776050840.462429,10.8,284.210802688,20704.429817,355.396889,12161259.682304,20707820.948992,,,,
1776050840.552693,6.1,284.525633536,20704.430067,355.396989,12161259.682304,20707820.948992,0.0002500000009604264,0.00010000000003174137,0.0,0.0
1776050840.6427417,10.0,285.218922496,20704.430119,355.397107,12161259.682304,20707820.948992,5.199999941396527e-05,0.00011799999998629573,0.0,0.0
1776050840.7326999,20.2,284.223524864,20704.430119,355.397107,12161259.682304,20707820.948992,0.0,0.0,0.0,0.0
1776050840.8227506,5.6,284.195401728,20704.430119,355.397107,12161259.682304,20707820.948992,0.0,0.0,0.0,0.0
1776050840.912627,5.9,284.233150464,20704.430119,355.397107,12161259.682304,20707820.948992,0.0,0.0,0.0,0.0
1776050841.005101,9.4,285.1132416,20704.430119,355.397107,12161259.682304,20707820.948992,0.0,0.0,0.0,0.0
1776050841.0952852,23.6,284.63906816,20704.430119,355.397107,12161259.682304,20707821.039104,0.0,0.0,0.0,0.09011200070381165
1776050841.1854177,6.8,284.206010368,20704.430119,355.397107,12161259.682304,20707821.039104,0.0,0.0,0.0,0.0
1776050841.2752693,5.9,284.219400192,20704.430119,355.397107,12161259.682304,20707821.039104,0.0,0.0,0.0,0.0
1776050841.3647227,5.8,284.891262976,20704.430119,355.397107,12161259.682304,20707821.039104,0.0,0.0,0.0,0.0
1776050841.4547465,17.8,284.922036224,20704.430119,355.397107,12161259.682304,20707821.039104,0.0,0.0,0.0,0.0
1776050841.5447426,12.3,284.220235776,20704.430119,355.397107,12161259.682304,20707821.0432,0.0,0.0,0.0,0.004096001386642456
1776050841.6344867,5.8,284.220923904,20704.430119,355.397107,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050841.7239683,6.6,284.589654016,20704.430337,355.397409,12161259.682304,20707821.0432,0.00021800000104121864,0.00030199999997648774,0.0,0.0
1776050841.813643,12.9,285.14215936,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050841.9059055,19.3,284.226871296,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050841.9958718,5.7,284.226301952,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.0856614,5.6,284.42714112,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.1752837,8.7,285.271228416,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.265724,21.4,284.328579072,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.355594,5.9,284.22899712,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.4454012,5.7,284.237643776,20704.430337,355.397409,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.5348837,8.8,285.086109696,20704.430875,355.397981,12161259.682304,20707821.0432,0.0005379999965953175,0.0005720000000337677,0.0,0.0
1776050842.62483,23.8,284.653461504,20704.430941,355.397981,12161259.682304,20707821.0432,6.600000051548705e-05,0.0,0.0,0.0
1776050842.714839,5.6,284.235227136,20704.430941,355.397981,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.8044977,6.1,284.23424,20704.431112,355.398086,12161259.682304,20707821.0432,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776050842.8941557,5.7,284.880420864,20704.431112,355.398086,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050842.9840565,19.1,284.942286848,20704.431112,355.398086,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050843.0740492,10.7,284.248936448,20704.431112,355.398086,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050843.1638563,6.5,284.248592384,20704.431112,355.398086,12161259.682304,20707821.0432,0.0,0.0,0.0,0.0
1776050843.2533448,6.2,284.62188544,20704.431217,355.398191,12161259.682304,20707821.0432,0.0001050000028044451,0.00010500000001911758,0.0,0.0
1776050843.3429456,8.0,285.172785152,20704.431283,355.398191,12161259.682304,20707821.047296,6.600000051548705e-05,0.0,0.0,0.004095997661352158
1776050843.4329572,20.6,284.247293952,20704.431283,355.398191,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050843.5228612,5.5,284.246437888,20704.431283,355.398191,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050843.612481,5.7,284.359684096,20704.431454,355.398296,12161259.682304,20707821.047296,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776050843.7025893,8.7,285.182799872,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050843.7941852,21.8,284.656574464,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050843.884176,5.7,284.221120512,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050843.9738536,5.7,284.22137856,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.0634918,9.0,284.947767296,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.1532586,19.9,285.066760192,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.243142,8.2,284.234604544,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.333066,5.8,284.235808768,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.422784,7.8,284.760096768,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.5123122,11.3,285.177749504,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.6021817,16.6,284.231458816,20704.431454,355.398296,12161259.682304,20707821.047296,0.0,0.0,0.0,0.0
1776050844.6922054,5.9,284.230569984,20704.431559,355.398401,12161259.682304,20707821.047296,0.0001049999991664663,0.00010499999996227416,0.0,0.0
1776050844.7817872,5.6,284.56192,20704.431625,355.398401,12161259.682304,20707821.092352,6.600000051548705e-05,0.0,0.0,0.04505600035190582
1776050844.871363,8.9,285.214982144,20704.431625,355.398401,12161259.682304,20707821.092352,0.0,0.0,0.0,0.0
1776050844.9612944,23.1,284.338225152,20704.431625,355.398401,12161259.682304,20707821.092352,0.0,0.0,0.0,0.0
1776050845.0510633,5.7,284.199501824,20704.431625,355.398401,12161259.682304,20707821.092352,0.0,0.0,0.0,0.0
1776050845.1405547,5.8,284.199501824,20704.431625,355.398401,12161259.682304,20707821.092352,0.0,0.0,0.0,0.0
1776050845.2300398,8.7,285.026291712,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.6307840012013912
1776050845.3199773,22.2,284.689965056,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.4099295,5.6,284.221575168,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.4995427,6.3,284.220588032,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.5890925,8.7,284.816437248,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.6814904,20.6,284.866277376,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.771399,5.7,284.223811584,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.8681824,6.1,284.222922752,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050845.9580216,5.7,284.81480704,20704.431625,355.398401,12161259.682304,20707821.723136,0.0,0.0,0.0,0.0
1776050846.0477905,18.6,285.046083584,20704.431625,355.398401,12161259.682304,20707821.735424,0.0,0.0,0.0,0.01228800043463707
1776050846.138193,9.9,284.225327104,20704.431625,355.398401,12161259.682304,20707821.735424,0.0,0.0,0.0,0.0
1776050846.2279372,5.8,284.224180224,20704.431625,355.398401,12161259.682304,20707821.735424,0.0,0.0,0.0,0.0
1776050846.3176897,5.4,284.590563328,20704.431625,355.398401,12161259.682304,20707821.73952,0.0,0.0,0.0,0.004095997661352158
1776050846.4073367,9.3,285.169860608,20704.431625,355.398401,12161259.682304,20707821.80096,0.0,0.0,0.0,0.06144000217318535
1776050846.4988775,21.3,284.176805888,20704.431625,355.398401,12161259.682304,20707821.80096,0.0,0.0,0.0,0.0
1776050846.5888135,6.3,284.176646144,20704.431625,355.398401,12161259.682304,20707821.80096,0.0,0.0,0.0,0.0
