ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051122.952794,11.3,287.427457024,20709.963251,361.465712,12161259.682304,20707864.679424,,,,
1776051123.003292,6.1,287.456817152,20709.963251,361.465712,12161259.682304,20707864.679424,0.0,0.0,0.0,0.0
1776051123.05339,6.7,287.972974592,20709.963251,361.465712,12161259.682304,20707864.679424,0.0,0.0,0.0,0.0
1776051123.1033492,12.2,288.473645056,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.004096001386642456
1776051123.1543002,38.7,288.077676544,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.2034895,6.8,287.42938624,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.2538016,6.2,287.429296128,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.3036397,6.6,287.431856128,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.3536873,6.1,287.432085504,20709.963251,361.465712,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.403741,6.7,287.855710208,20709.963356,361.465817,12161259.682304,20707864.68352,0.0001049999991664663,0.00010500000001911758,0.0,0.0
1776051123.4538095,11.9,288.355606528,20709.963422,361.465817,12161259.682304,20707864.68352,6.600000051548705e-05,0.0,0.0,0.0
1776051123.5038438,37.4,288.07972864,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.5539563,6.5,287.38373632,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.6039634,6.6,287.38373632,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.6540256,6.0,287.383097344,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.711839,6.9,287.383097344,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.7563896,6.5,287.71426304,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.8057392,12.3,288.180604928,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.8558674,17.9,288.456470528,20709.963422,361.465817,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051123.9058182,24.2,287.70383872,20709.963593,361.465922,12161259.682304,20707864.68352,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776051123.9561465,6.5,287.445987328,20709.963593,361.465922,12161259.682304,20707864.68352,0.0,0.0,0.0,0.0
1776051124.005917,6.3,287.445487616,20709.963593,361.465922,12161259.682304,20707864.810496,0.0,0.0,0.0,0.12697599828243256
1776051124.056122,6.5,287.445487616,20709.963593,361.465922,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.1061265,6.4,287.45347072,20709.963593,361.465922,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.156156,6.7,287.969370112,20709.963593,361.465922,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.20652,10.7,288.376725504,20709.963593,361.465922,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.2563963,24.0,288.204210176,20709.963764,361.466258,12161259.682304,20707864.810496,0.00017099999968195334,0.00033600000000433283,0.0,0.0
1776051124.3063898,18.9,287.618465792,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.3562708,6.7,287.403769856,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.406421,6.0,287.402549248,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.456418,6.8,287.402549248,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.506474,6.0,287.549349888,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.5565717,6.5,288.045051904,20709.963764,361.466258,12161259.682304,20707864.810496,0.0,0.0,0.0,0.0
1776051124.6078506,11.1,288.43589632,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0655359998345375
1776051124.656778,33.9,288.071745536,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.7068422,10.0,287.381622784,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.7566612,6.6,287.381532672,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.8083277,6.8,287.381348352,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.8567996,6.5,287.3816064,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.9069736,6.1,287.666376704,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051124.9569504,6.6,288.15181824,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.0071175,15.0,288.304472064,20709.963764,361.466258,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.0571213,31.3,287.812890624,20709.96383,361.466324,12161259.682304,20707864.876032,6.600000051548705e-05,6.600000000389628e-05,0.0,0.0
1776051125.107259,6.1,287.39401728,20709.96383,361.466324,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.1571953,7.0,287.392964608,20709.963896,361.46639,12161259.682304,20707864.876032,6.600000051548705e-05,6.600000000389628e-05,0.0,0.0
1776051125.2073283,6.3,287.393193984,20709.963896,361.46639,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.2573757,6.5,287.39393536,20709.963896,361.46639,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.307412,6.6,287.863697408,20709.963896,361.46639,12161259.682304,20707864.876032,0.0,0.0,0.0,0.0
1776051125.357442,12.0,288.241860608,20709.964067,361.466495,12161259.682304,20707864.876032,0.00017099999968195334,0.00010500000001911758,0.0,0.0
