ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776051254.2720833,0,0,0,2806.90688,192265.846784,196.555,34,1965,3996,0,0.0,0.0,0.677,0.627,0,0.196555,51.0,0.0
1776051254.3223455,0,0,0,2806.90688,192265.846784,196.555,34,1965,3996,0,0.0,0.0,0.636,0.68,0,0.196555,51.0,9.879289227724076
1776051254.372137,0,0,0,2806.90688,192265.846784,196.614,34,1965,3996,0,0.0,0.0,0.668,0.628,0,0.196614,51.0,19.669009852170944
1776051254.4224055,0,0,0,2806.90688,192265.846784,196.614,34,1965,3996,0,0.0,0.0,0.634,0.636,0,0.196614,51.0,29.552483337640762
1776051254.4721515,0,0,0,2806.90688,192265.846784,196.597,34,1965,3996,0,0.0,0.0,0.668,0.632,0,0.19659700000000002,51.0,39.332404881238936
1776051254.5224478,0,0,0,2806.90688,192265.846784,196.597,34,1965,3996,0,0.0,0.0,0.635,0.642,0,0.19659700000000002,51.0,49.220507871866225
1776051254.5723188,0,0,0,2806.90688,192265.846784,196.605,34,1965,3996,0,0.0,0.0,0.705,0.63,0,0.196605,51.0,59.02538950896263
1776051254.6224804,0,0,0,2806.90688,192265.846784,196.605,34,1965,3996,0,0.0,0.0,0.649,0.637,0,0.196605,51.0,68.88741089916229
1776051254.6723506,0,0,0,2806.90688,192265.846784,196.617,34,1965,3996,0,0.0,0.0,0.67,0.637,0,0.196617,51.0,78.69275035643577
1776051254.7225113,0,0,0,2806.90688,192265.846784,196.617,34,1965,3996,0,0.0,0.0,0.593,0.638,0,0.196617,51.0,88.55518617725372
1776051254.7725997,0,0,0,2806.90688,192265.846784,196.643,34,1965,3996,0,0.0,0.0,0.802,0.628,0,0.196643,51.0,98.40472052145003
1776051254.822606,0,0,0,2806.90688,192265.846784,196.643,34,1965,3996,0,0.0,0.0,0.625,0.652,0,0.196643,51.0,108.23812699508666
1776051254.8725622,0,0,0,2806.90688,192265.846784,196.622,34,1965,3996,0,0.0,0.0,0.669,0.639,0,0.19662200000000002,51.0,118.06059200525283
1776051254.9227185,0,0,0,2806.90688,192265.846784,196.577,34,1965,3996,0,0.0,0.0,0.679,0.684,0,0.196577,51.0,127.92017778325081
1776051254.9727263,0,0,0,2806.90688,192265.846784,196.577,34,1965,3996,0,0.0,0.0,0.688,0.636,0,0.196577,51.0,137.75056504082679
1776051255.0227735,0,0,0,2806.90688,192265.846784,196.627,34,1965,3996,0,0.0,0.0,0.638,0.682,0,0.196627,51.0,147.59118781185148
1776051255.0728588,0,0,0,2806.90688,192265.846784,196.627,34,1965,3996,0,0.0,0.0,0.664,0.635,0,0.196627,51.0,157.43931130766867
1776051255.122947,0,0,0,2806.90688,192265.846784,196.651,34,1965,3996,0,0.0,0.0,0.633,0.68,0,0.19665100000000002,51.0,167.28919947385788
1776051255.1728938,0,0,0,2806.90688,192265.846784,196.651,34,1965,3996,0,0.0,0.0,0.666,0.636,0,0.19665100000000002,51.0,177.11128468561174
1776051255.2230835,0,0,0,2806.90688,192265.846784,196.561,34,1965,3996,0,0.0,0.0,0.683,0.684,0,0.196561,51.0,186.976628893137
1776051255.2731435,0,0,0,2806.90688,192265.846784,196.561,34,1965,3996,0,0.0,0.0,0.756,0.641,0,0.196561,51.0,196.81647919654847
1776051255.323201,0,0,0,2806.90688,192265.846784,196.495,34,1965,3996,0,0.0,0.0,0.676,0.68,0,0.196495,51.0,206.65251020908357
1776051255.3734195,0,0,0,2806.90688,192265.846784,196.495,34,1965,3996,0,0.0,0.0,0.711,0.676,0,0.196495,51.0,216.52021050930026
1776051255.4233031,0,0,0,2806.90688,192265.846784,196.563,34,1965,3996,0,0.0,0.0,0.636,0.671,0,0.196563,51.0,226.32548137211802
1776051255.4732902,0,0,0,2806.90688,192265.846784,196.563,34,1965,3996,0,0.0,0.0,0.679,0.637,0,0.196563,51.0,236.15109132862094
1776051255.5233703,0,0,0,2806.90688,192265.846784,196.526,34,1965,3996,0,0.0,0.0,0.676,0.632,0,0.196526,51.0,245.9931253886223
1776051255.5733428,0,0,0,2806.90688,192265.846784,196.526,34,1965,3996,0,0.0,0.0,0.665,0.627,0,0.196526,51.0,255.81402764081957
1776051255.6235235,0,0,0,2806.90688,192265.846784,196.504,34,1965,3996,0,0.0,0.0,0.676,0.68,0,0.19650399999999998,51.0,265.67473072576524
1776051255.6734824,0,0,0,2806.90688,192265.846784,196.504,34,1965,3996,0,0.0,0.0,0.661,0.632,0,0.19650399999999998,51.0,275.4918631205559
1776051255.7235782,0,0,0,2806.90688,192265.846784,196.479,34,1965,3996,0,0.0,0.0,0.624,0.631,0,0.19647900000000001,51.0,285.3346351377964
1776051255.7736292,0,0,0,2806.90688,192265.846784,196.479,34,1965,3996,0,0.0,0.0,0.661,0.633,0,0.19647900000000001,51.0,295.1686004371643
1776051255.8237226,0,0,0,2806.90688,192265.846784,196.489,34,1965,3996,0,0.0,0.0,0.689,0.639,0,0.196489,51.0,305.01140494608876
1776051255.873736,0,0,0,2806.90688,192265.846784,196.489,34,1965,3996,0,0.0,0.0,0.678,0.641,0,0.196489,51.0,314.8384689879417
1776051255.923821,0,0,0,2806.90688,192265.846784,196.469,34,1965,3996,0,0.0,0.0,0.628,0.626,0,0.196469,51.0,324.6786321635246
1776051255.9740207,0,0,0,2806.90688,192265.846784,196.469,34,1965,3996,0,0.0,0.0,0.667,0.684,0,0.196469,51.0,334.5413262736797
1776051256.0240266,0,0,0,2806.90688,192265.846784,196.426,34,1965,3996,0,0.0,0.0,0.679,0.686,0,0.196426,51.0,344.3637876975536
1776051256.073963,0,0,0,2806.90688,192265.846784,196.426,34,1965,3996,0,0.0,0.0,0.667,0.639,0,0.196426,51.0,354.1725742919445
1776051256.1241896,0,0,0,2806.90688,192265.846784,196.413,34,1965,3996,0,0.0,0.0,0.678,0.679,0,0.196413,51.0,364.03774883770944
1776051256.1741223,0,0,0,2806.90688,192265.846784,196.413,34,1965,3996,0,0.0,0.0,0.67,0.63,0,0.196413,51.0,373.84518383264543
1776051256.2243211,0,0,0,2806.90688,192265.846784,196.407,34,1965,3996,0,0.0,0.0,0.643,0.683,0,0.196407,51.0,383.7045782501698
1776051256.2741973,0,0,0,2806.90688,192265.846784,196.407,34,1965,3996,0,0.0,0.0,0.67,0.639,0,0.196407,51.0,393.500615631342
1776051256.3243177,0,0,0,2806.90688,192265.846784,196.394,34,1965,3996,0,0.0,0.0,0.637,0.631,0,0.196394,51.0,403.3439523756505
1776051256.3743076,0,0,0,2806.90688,192265.846784,196.394,34,1965,3996,0,0.0,0.0,0.66,0.636,0,0.196394,51.0,413.16167640376096
1776051256.4244819,0,0,0,2806.90688,192265.846784,196.366,34,1965,3996,0,0.0,0.0,0.641,0.63,0,0.196366,51.0,423.01419048857696
1776051256.4744346,0,0,0,2806.90688,192265.846784,196.366,34,1965,3996,0,0.0,0.0,0.67,0.641,0,0.196366,51.0,432.823211299181
1776051256.5246487,0,0,0,2806.90688,192265.846784,196.354,34,1965,3996,0,0.0,0.0,0.633,0.679,0,0.196354,51.0,442.68294130492217
1776051256.5745976,0,0,0,2806.90688,192265.846784,196.354,34,1965,3996,0,0.0,0.0,0.666,0.633,0,0.196354,51.0,452.49061365151414
1776051256.6248894,0,0,0,2806.90688,192265.846784,196.341,34,1965,3996,0,0.0,0.0,0.678,0.69,0,0.19634100000000002,51.0,462.3649513721467
1776051256.6746829,0,0,0,2806.90688,192265.846784,196.341,34,1965,3996,0,0.0,0.0,0.675,0.639,0,0.19634100000000002,51.0,472.141453387499
1776051256.7247772,0,0,0,2806.90688,192265.846784,196.349,34,1965,3996,0,0.0,0.0,0.633,0.632,0,0.196349,51.0,481.97743207168594
1776051256.774802,0,0,0,2806.90688,192265.846784,196.349,34,1965,3996,0,0.0,0.0,0.666,0.64,0,0.196349,51.0,491.7997412869932
1776051256.8249633,0,0,0,2806.90688,192265.846784,196.345,34,1965,3996,0,0.0,0.0,0.625,0.651,0,0.196345,51.0,501.6486738488676
1776051256.8749359,0,0,0,2806.90688,192265.846784,196.345,34,1965,3996,0,0.0,0.0,0.685,0.639,0,0.196345,51.0,511.46053107237833
1776051256.925091,0,0,0,2806.90688,192265.846784,196.345,34,1965,3996,0,0.0,0.0,0.629,0.63,0,0.196345,51.0,521.308246514559
1776051256.9750757,0,0,0,2806.90688,192265.846784,196.345,34,1965,3996,0,0.0,0.0,0.677,0.632,0,0.196345,51.0,531.1224911651613
