ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051275.8426614,10.9,288.08237056,20710.047353,361.82108,12161259.682304,20707885.683712,,,,
1776051275.9296436,6.4,288.081825792,20710.047353,361.82108,12161259.682304,20707885.687808,0.0,0.0,0.0,0.004096001386642456
1776051276.01655,6.7,288.509202432,20710.047784,361.821519,12161259.682304,20707885.687808,0.0004309999967517797,0.0004390000000284999,0.0,0.0
1776051276.1035454,13.1,288.879919104,20710.04785,361.821519,12161259.682304,20707885.75744,6.600000051548705e-05,0.0,0.0,0.06963200122117996
1776051276.1913419,20.4,288.112263168,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.2782323,6.6,288.112963584,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.365122,6.4,288.343552,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.4522161,9.8,289.069907968,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.5395982,24.8,288.654184448,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.6268115,6.2,288.080248832,20710.04785,361.821519,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.7136042,6.5,288.080248832,20710.048071,361.821832,12161259.682304,20707885.75744,0.0002210000020568259,0.0003129999999487154,0.0,0.0
1776051276.8001552,6.7,288.747659264,20710.04906,361.822521,12161259.682304,20707885.75744,0.0009890000001178123,0.0006890000000225882,0.0,0.0
1776051276.8879352,18.9,288.991633408,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051276.9762316,11.5,288.090087424,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051277.0631237,6.1,288.088940544,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051277.1581259,6.7,288.538763264,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051277.244995,13.2,289.210064896,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051277.3320293,19.0,288.104513536,20710.04906,361.822521,12161259.682304,20707885.75744,0.0,0.0,0.0,0.0
1776051277.41895,6.1,288.103399424,20710.04906,361.822521,12161259.682304,20707885.761536,0.0,0.0,0.0,0.004095997661352158
1776051277.505605,6.8,288.247554048,20710.04906,361.822521,12161259.682304,20707885.761536,0.0,0.0,0.0,0.0
1776051277.592338,9.8,289.127002112,20710.049215,361.822834,12161259.682304,20707885.761536,0.00015499999790336005,0.00031300000000555883,0.0,0.0
1776051277.6795073,24.2,288.247689216,20710.049281,361.822834,12161259.682304,20707886.1056,6.600000051548705e-05,0.0,0.0,0.34406400099396706
1776051277.766623,6.4,288.112320512,20710.049711,361.823272,12161259.682304,20707886.1056,0.00043000000005122274,0.00043799999997418126,0.0,0.0
1776051277.8532777,6.4,288.112320512,20710.049777,361.823272,12161259.682304,20707886.1056,6.600000051548705e-05,0.0,0.0,0.0
1776051277.93998,9.9,288.862777344,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.0270534,20.9,288.9858048,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.1139822,8.8,288.12132352,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.2006228,6.8,288.121069568,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.2872994,6.3,288.526716928,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.3788416,13.7,289.215623168,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.467374,18.4,288.149045248,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.5541997,6.4,288.141737984,20710.049777,361.823272,12161259.682304,20707886.1056,0.0,0.0,0.0,0.0
1776051278.6408317,6.5,288.141737984,20710.049777,361.823272,12161259.682304,20707886.121984,0.0,0.0,0.0,0.016384001821279526
