ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050882.3968964,0,0,0,2674.786304,192265.846784,196.483,34,1965,3996,0,0.0,0.0,0.668,0.731,0,0.196483,51.0,0.0
1776050882.4415052,1,0,0,755.826688,192265.846784,141.784,27,120,3996,0,0.0,0.0,0.915,0.842,0,0.141784,58.0,0.0
1776050882.4850202,0,0,0,2674.786304,192265.846784,196.33,34,1965,3996,0,0.0,0.0,0.648,0.653,0,0.19633,51.0,17.30134533405304
1776050882.5292156,1,0,0,755.826688,192265.846784,141.792,27,120,3996,0,0.0,0.0,0.899,0.923,0,0.141792,58.0,12.436630279541015
1776050882.5723834,0,0,0,2674.786304,192265.846784,196.369,34,1965,3996,0,0.0,0.0,0.659,0.657,0,0.196369,51.0,34.45677801895141
1776050882.6167724,1,0,0,755.826688,192265.846784,141.806,27,120,3996,0,0.0,0.0,0.917,0.938,0,0.14180600000000002,58.0,24.85271538925171
1776050882.6603887,0,0,0,2674.786304,192265.846784,196.334,34,1965,3996,0,0.0,0.0,2640.162,232.112,0,0.196334,51.0,51.7352114405632
1776050882.7642307,1,0,0,755.826688,192265.846784,141.779,27,120,3996,0,0.0,0.0,8.646,32.451,0,0.141779,58.0,45.75920781683922
1776050882.8104134,0,2,0,2674.786304,192265.846784,196.355,34,1965,3996,2,0.0,0.0,1.124,0.791,0,0.196355,51.0,81.19330207848549
1776050882.852996,1,0,0,777.91232,192265.846784,143.338,28,1965,3996,0,0.0,0.0,2.491,0.63,0,0.143338,57.0,58.482660251855854
1776050882.9044697,0,2,0,2674.786304,192265.846784,196.34,34,1965,3996,2,0.0,0.0,1.463,0.674,0,0.19634000000000001,51.0,99.66032934689522
1776050882.9959671,1,0,0,778.698752,192265.846784,153.657,28,1965,3996,0,0.0,0.0,36.624,396.272,0,0.15365700000000002,57.0,80.4511611635685
1776050883.0394123,0,0,0,2674.786304,192265.846784,196.357,34,1965,3996,0,0.0,0.0,3.333,6.071,0,0.196357,51.0,126.15724002146722
1776050883.0813963,1,0,0,1424.883712,192265.846784,158.651,28,1965,3996,0,0.0,0.0,0.722,0.633,0,0.15865100000000001,57.0,94.00458783841134
1776050883.1249182,0,0,0,2674.786304,192265.846784,196.344,34,1965,3996,0,0.0,0.0,0.687,0.776,0,0.196344,51.0,142.94582269740107
1776050883.1672719,1,0,0,1424.883712,192265.846784,158.651,28,1965,3996,0,0.0,0.0,0.707,0.779,0,0.15865100000000001,57.0,107.62882356095315
1776050883.2109046,0,0,0,2674.786304,192265.846784,198.826,34,1965,3996,0,0.0,0.0,0.637,0.841,0,0.198826,51.0,160.0421498539448
1776050883.2529414,1,1,0,1424.883712,192265.846784,165.291,28,1965,3996,1,0.0,0.0,0.689,0.624,0,0.165291,57.0,121.78922378087044
1776050883.2966363,0,0,0,2681.07776,192265.846784,198.886,34,1965,3996,0,0.0,0.0,1536.518,134.605,0,0.198886,51.0,177.09299364352228
1776050883.3387241,1,1,0,1424.883712,192265.846784,170.362,28,1965,3996,1,0.0,0.0,0.943,61.422,0,0.17036199999999999,57.0,136.40334742045403
1776050883.381983,0,0,0,2771.255296,192265.846784,198.895,34,1965,3996,0,0.0,0.0,0.983,0.657,0,0.19889500000000002,51.0,194.06802529358865
1776050883.4329503,1,0,0,1504.575488,192265.846784,175.112,28,1965,3996,0,0.0,0.0,1079.19,19.377,0,0.175112,57.0,152.9034720790386
1776050883.4926043,0,0,0,2777.546752,192265.846784,198.845,34,1965,3996,0,0.0,0.0,21.171,0.847,0,0.198845,51.0,216.06450057411195
