ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050992.447232,0,0,0,2792.226816,192265.846784,198.64,36,1965,3996,0,0.0,0.0,0.665,0.677,0,0.19863999999999998,49.0,0.0
1776050992.4968812,0,0,0,2792.226816,192265.846784,198.64,36,1965,3996,0,0.0,0.0,0.59,2.101,0,0.19863999999999998,49.0,9.862324752807616
1776050992.546769,0,0,0,2792.226816,192265.846784,198.593,36,1965,3996,0,0.0,0.0,0.662,0.656,0,0.198593,49.0,19.76966425228119
1776050992.5968544,0,0,0,2792.226816,192265.846784,198.593,36,1965,3996,0,0.0,0.0,0.611,2.06,0,0.198593,49.0,29.71630280828476
1776050992.6468897,0,0,0,2792.226816,192265.846784,198.518,36,1965,3996,0,0.0,0.0,0.662,0.65,0,0.198518,49.0,39.649198238372804
1776050992.6970937,0,0,0,2792.226816,192265.846784,198.518,36,1965,3996,0,0.0,0.0,3692.747,142.533,0,0.198518,49.0,49.615603577136994
1776050992.7473292,0,0,0,3025.010688,192265.846784,198.447,36,1965,3996,0,0.0,0.0,84.466,5.24,0,0.198447,49.0,59.584689804792404
1776050992.7979214,0,0,0,3081.633792,192265.846784,199.106,36,1965,3996,0,0.0,0.0,230.872,43.422,0,0.199106,49.0,69.6578972055912
1776050992.8588731,0,7,0,3081.633792,192265.846784,199.106,36,1965,3996,7,0.0,0.0,236.407,42.276,0,0.199106,49.0,81.79374832653998
1776050992.9035602,0,7,0,3081.633792,192265.846784,219.665,36,1965,3996,7,0.0,0.0,249.813,40.276,0,0.219665,49.0,91.60992536449432
1776050992.9528875,0,7,0,3081.633792,192265.846784,219.665,39,1965,3996,7,0.0,0.0,238.571,41.636,0,0.219665,46.0,102.44542286539077
1776050993.002945,0,7,0,3081.633792,192265.846784,248.271,39,1965,3996,7,0.0,0.0,225.315,31.982,0,0.248271,46.0,114.87322639989851
1776050993.0537052,0,91,9,3081.633792,192265.846784,248.271,39,1965,3996,91,0.0,0.0,237.21,44.355,0,0.248271,46.0,127.47552918577193
1776050993.1031718,0,91,9,3081.633792,192265.846784,273.4,39,1965,3996,91,0.0,0.0,236.296,42.163,0,0.2734,46.0,140.99970034742356
1776050993.1531978,0,91,9,3081.633792,192265.846784,273.4,40,1965,3996,91,0.0,0.0,236.802,42.035,0,0.2734,45.0,154.67679232740403
1776050993.2033253,0,91,9,3081.633792,192265.846784,301.764,40,1965,3996,91,0.0,0.0,237.348,42.056,0,0.30176400000000003,45.0,169.80346912527085
1776050993.253367,0,93,10,3081.633792,192265.846784,301.764,40,1965,3996,93,0.0,0.0,237.297,42.044,0,0.30176400000000003,45.0,184.90424531126024
1776050993.3033595,0,93,10,3081.633792,192265.846784,335.445,40,1965,3996,93,0.0,0.0,235.944,41.95,0,0.335445,45.0,201.67400005006792
1776050993.3534484,0,93,10,3081.633792,192265.846784,335.445,40,1965,3996,93,0.0,0.0,236.384,40.027,0,0.335445,45.0,218.47606522226334
1776050993.4035206,0,93,10,3081.633792,192265.846784,360.525,40,1965,3996,93,0.0,0.0,240.708,39.838,0,0.360525,45.0,236.52834265613558
1776050993.4536133,0,92,9,3081.633792,192265.846784,360.525,41,1965,3996,92,0.0,0.0,218.257,41.998,0,0.360525,44.0,254.58801229381564
1776050993.5045164,0,92,9,3081.633792,192265.846784,390.676,41,1965,3996,92,0.0,0.0,239.177,42.198,0,0.39067599999999997,44.0,274.4746247158051
1776050993.5544007,0,92,9,3081.633792,192265.846784,390.676,41,1965,3996,92,0.0,0.0,238.925,43.573,0,0.39067599999999997,44.0,293.9632310447693
1776050993.603784,0,92,9,3081.633792,192265.846784,413.215,41,1965,3996,92,0.0,0.0,238.783,41.864,0,0.413215,44.0,314.36919344878197
1776050993.653729,0,93,9,3081.633792,192265.846784,413.215,41,1965,3996,93,0.0,0.0,237.85,41.986,0,0.413215,44.0,335.00716605639457
1776050993.703831,0,93,9,3081.633792,192265.846784,442.457,41,1965,3996,93,0.0,0.0,237.928,42.077,0,0.442457,44.0,357.17514466524125
1776050993.7539,0,93,9,3081.633792,192265.846784,442.457,41,1965,3996,93,0.0,0.0,238.64,41.941,0,0.442457,44.0,379.32856565833094
1776050993.807211,0,93,9,3081.633792,192265.846784,470.003,41,1965,3996,93,0.0,0.0,239.324,48.665,0,0.470003,44.0,404.3848350193501
1776050993.8540096,0,93,9,3081.633792,192265.846784,470.003,41,1965,3996,93,0.0,0.0,237.779,41.888,0,0.470003,44.0,426.3803672611714
1776050993.9040952,0,93,9,3081.633792,192265.846784,476.844,41,1965,3996,93,0.0,0.0,237.6,41.788,0,0.476844,44.0,450.2633586838246
1776050993.9541266,0,93,9,3081.633792,192265.846784,476.844,41,1965,3996,93,0.0,0.0,237.924,41.799,0,0.476844,44.0,474.12054282403
1776050994.0042658,0,93,9,3081.633792,192265.846784,477.687,41,1965,3996,93,0.0,0.0,237.473,41.905,0,0.47768700000000003,44.0,498.0713814883233
1776050994.0542436,0,93,10,3081.633792,192265.846784,477.687,41,1965,3996,93,0.0,0.0,238.199,41.841,0,0.47768700000000003,44.0,521.9451169910432
1776050994.1043577,0,93,10,3081.633792,192265.846784,479.838,41,1965,3996,93,0.0,0.0,237.853,41.895,0,0.47983800000000004,44.0,545.9917928094865
1776050994.1544986,0,93,10,3081.633792,192265.846784,479.838,41,1965,3996,93,0.0,0.0,236.148,42.12,0,0.47983800000000004,44.0,570.0512816848756
1776050994.2153664,0,93,10,3081.633792,192265.846784,479.829,41,1965,3996,93,0.0,0.0,234.204,62.736,0,0.479829,44.0,599.2574107689858
1776050994.259397,0,93,10,3081.633792,192265.846784,479.829,41,1965,3996,93,0.0,0.0,234.095,41.975,0,0.479829,44.0,620.3846013736725
1776050994.3095627,0,93,10,3081.633792,192265.846784,479.822,41,1965,3996,93,0.0,0.0,233.888,41.936,0,0.479822,44.0,644.4551854372024
1776050994.359504,0,93,10,3081.633792,192265.846784,479.822,41,1965,3996,93,0.0,0.0,234.652,42.053,0,0.479822,44.0,668.418120531559
1776050994.4096637,0,93,10,3081.633792,192265.846784,479.982,41,1965,3996,93,0.0,0.0,233.985,41.848,0,0.479982,44.0,692.4938701839448
1776050994.4596083,0,93,10,3081.633792,192265.846784,479.982,41,1965,3996,93,0.0,0.0,234.717,41.793,0,0.479982,44.0,716.4663979992868
1776050994.5097735,0,93,10,3081.633792,192265.846784,481.716,41,1965,3996,93,0.0,0.0,233.178,41.857,0,0.48171600000000003,44.0,740.6317661099434
1776050994.559871,0,93,10,3081.633792,192265.846784,481.716,41,1965,3996,93,0.0,0.0,220.075,41.81,0,0.48171600000000003,44.0,764.764516808033
1776050994.6099694,0,93,10,3081.633792,192265.846784,481.317,41,1965,3996,93,0.0,0.0,240.034,41.765,0,0.481317,44.0,788.8777376370431
1776050994.6601555,0,92,9,3081.633792,192265.846784,481.317,41,1965,3996,92,0.0,0.0,240.093,42.023,0,0.481317,44.0,813.0331882748604
1776050994.7100039,0,92,9,3081.633792,192265.846784,481.093,41,1965,3996,92,0.0,0.0,240.391,41.784,0,0.481093,44.0,837.014865174532
1776050994.7608182,0,92,9,3081.633792,192265.846784,481.093,41,1965,3996,92,0.0,0.0,239.973,43.773,0,0.481093,44.0,861.4613125905992
