ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776050992.4472544,10.6,286.884704256,20709.887485,361.13142,12161259.682304,20707844.61056,,,,
1776050992.4969003,6.9,287.280902144,20709.887485,361.13142,12161259.682304,20707844.61056,0.0,0.0,0.0,0.0
1776050992.5467913,10.2,287.767498752,20709.887637,361.131722,12161259.682304,20707844.61056,0.0001520000005257316,0.00030200000003333116,0.0,0.0
1776050992.596883,21.5,287.904763904,20709.887703,361.131722,12161259.682304,20707844.61056,6.600000051548705e-05,0.0,0.0,0.0
1776050992.64691,21.7,287.161073664,20709.887703,361.131722,12161259.682304,20707844.61056,0.0,0.0,0.0,0.0
1776050992.697109,7.0,286.87077376,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.016384001821279526
1776050992.7473435,6.1,286.870171648,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050992.7979348,6.5,286.869594112,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050992.8588874,6.4,286.902890496,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050992.903573,11.0,287.364263936,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050992.9529107,8.3,287.813828608,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050993.0029695,25.4,287.6944384,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050993.0537236,16.1,287.080583168,20709.887703,361.131722,12161259.682304,20707844.626944,0.0,0.0,0.0,0.0
1776050993.1031866,6.6,286.839300096,20709.887703,361.131722,12161259.682304,20707844.63104,0.0,0.0,0.0,0.004095997661352158
1776050993.1532114,6.6,286.838018048,20709.887874,361.131827,12161259.682304,20707844.63104,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776050993.2033367,6.6,286.838018048,20709.887874,361.131827,12161259.682304,20707844.63104,0.0,0.0,0.0,0.0
1776050993.2533803,6.5,286.853214208,20709.887874,361.131827,12161259.682304,20707844.63104,0.0,0.0,0.0,0.0
1776050993.3033752,6.4,287.373266944,20709.887874,361.131827,12161259.682304,20707844.63104,0.0,0.0,0.0,0.0
1776050993.3534713,12.3,287.728750592,20709.887874,361.131827,12161259.682304,20707844.63104,0.0,0.0,0.0,0.0
