ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776051188.254914,0,0,0,3075.342336,192265.846784,203.28,41,1965,3996,0,0.0,0.0,10.227,1.575,0,0.20328,44.0,0.0
1776051188.2970772,1,0,0,2710.437888,192265.846784,190.155,29,1965,3996,0,0.0,0.0,0.652,0.656,0,0.190155,56.0,0.0
1776051188.3412843,0,0,0,3075.342336,192265.846784,235.836,40,1965,3996,0,0.0,0.0,5.336,1.47,0,0.23583600000000002,45.0,20.369209496498108
1776051188.3832364,1,0,0,2710.437888,192265.846784,190.141,29,1965,3996,0,0.0,0.0,0.66,0.63,0,0.190141,56.0,16.382402014255522
1776051188.4271424,0,33,1,3075.342336,192265.846784,235.836,46,1965,3996,33,0.0,0.0,4.888,1.453,0,0.23583600000000002,39.0,40.61764192771912
1776051188.4691057,1,0,0,2710.437888,192265.846784,190.136,29,1965,3996,0,0.0,0.0,0.648,2.126,0,0.190136,56.0,32.70924957513809
1776051188.512787,0,33,1,3075.342336,192265.846784,309.04,49,1965,3996,33,0.0,0.0,5.373,2.945,0,0.30904000000000004,36.0,67.08528680992127
1776051188.5547063,1,0,0,2710.437888,192265.846784,190.102,29,1965,3996,0,0.0,0.0,0.661,0.64,0,0.190102,56.0,48.98209760189056
1776051188.598583,0,100,4,3075.342336,192265.846784,370.364,50,1965,3996,100,0.0,0.0,4.885,2.964,0,0.37036399999999997,35.0,98.86099187469483
1776051188.640474,1,0,0,2710.437888,192265.846784,190.094,29,1965,3996,0,0.0,0.0,0.635,0.634,0,0.19009399999999999,56.0,65.28603150463104
1776051188.6853936,0,100,4,3075.342336,192265.846784,430.879,51,1965,3996,100,0.0,0.0,4.876,2.214,0,0.430879,34.0,136.26585158205035
1776051188.7333515,1,0,0,2710.437888,192265.846784,190.065,29,1965,3996,0,0.0,0.0,5.423,0.704,0,0.19006499999999998,56.0,82.93877225494384
1776051188.7774613,0,100,4,3075.342336,192265.846784,493.03,51,1965,3996,100,0.0,0.0,5.315,1.451,0,0.49302999999999997,34.0,181.65799883699418
1776051188.819364,1,0,0,2710.437888,192265.846784,190.061,29,1965,3996,0,0.0,0.0,0.629,0.633,0,0.190061,56.0,99.28641337561606
1776051188.8631785,0,100,4,3075.342336,192265.846784,546.152,51,1965,3996,100,0.0,0.0,4.888,5.862,0,0.5461520000000001,34.0,228.47261972475053
1776051188.905261,1,0,0,2710.437888,192265.846784,190.071,29,1965,3996,0,0.0,0.0,0.65,0.675,0,0.190071,56.0,115.61293614029884
1776051188.9489942,0,100,4,3075.342336,192265.846784,613.847,52,1965,3996,100,0.0,0.0,5.324,1.442,0,0.613847,33.0,281.15031014466285
