ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051188.2971013,10.8,288.298053632,20709.999848,361.619191,12161259.682304,20707873.432576,,,,
1776051188.3832457,11.8,287.457366016,20709.999848,361.619191,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051188.4691148,6.7,287.456284672,20709.999848,361.619191,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051188.554719,6.4,287.59074816,20709.999953,361.619296,12161259.682304,20707873.432576,0.0001049999991664663,0.00010500000001911758,0.0,0.0
1776051188.6404939,10.0,288.371662848,20710.000019,361.619296,12161259.682304,20707873.432576,6.600000051548705e-05,0.0,0.0,0.0
1776051188.7333727,22.3,288.135774208,20710.000019,361.619296,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051188.8193738,6.6,287.462043648,20710.000019,361.619296,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051188.9052706,9.1,287.4653696,20710.000019,361.619296,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051188.9910977,6.3,287.827628032,20710.000019,361.619296,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.0771174,10.0,288.52277248,20710.00019,361.619401,12161259.682304,20707873.432576,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776051189.1636298,22.8,287.66588928,20710.00019,361.619401,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.2558315,6.5,287.471239168,20710.00019,361.619401,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.3419454,6.4,287.470592,20710.00019,361.619401,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.4276302,6.7,288.259862528,20710.000361,361.619624,12161259.682304,20707873.432576,0.00017099999968195334,0.0002230000000054133,0.0,0.0
1776051189.5135887,27.3,288.094953472,20710.000455,361.61969,12161259.682304,20707873.432576,9.40000027185306e-05,6.600000000389628e-05,0.0,0.0
1776051189.599437,6.6,287.469473792,20710.000455,361.61969,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.6852915,6.3,287.468998656,20710.000455,361.61969,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.7709656,6.2,288.073568256,20710.000455,361.61969,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.8570414,20.5,288.285794304,20710.000455,361.61969,12161259.682304,20707873.432576,0.0,0.0,0.0,0.0
1776051189.9434323,13.1,287.449202688,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.004095997661352158
1776051190.029925,6.9,287.448788992,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.1157105,7.3,287.532490752,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.201314,8.8,288.405598208,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.287069,23.7,287.661432832,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.3730106,6.7,287.453507584,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.4586391,6.3,287.453507584,20710.000455,361.61969,12161259.682304,20707873.436672,0.0,0.0,0.0,0.0
1776051190.5445323,9.3,288.119476224,20710.000626,361.619795,12161259.682304,20707873.436672,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051190.630824,17.7,288.138776576,20710.000626,361.619795,12161259.682304,20707873.723392,0.0,0.0,0.0,0.28672000020742416
1776051190.7169778,12.1,287.469568,20710.000626,361.619795,12161259.682304,20707873.723392,0.0,0.0,0.0,0.0
1776051190.8027978,6.2,287.46903552,20710.000626,361.619795,12161259.682304,20707873.723392,0.0,0.0,0.0,0.0
1776051190.8886626,6.6,287.69196032,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.016384001821279526
1776051190.974383,9.7,288.474648576,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.0
1776051191.0631585,22.6,287.765737472,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.0
1776051191.149316,6.6,287.453200384,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.0
1776051191.235025,6.2,287.453200384,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.0
1776051191.3205194,6.6,288.087105536,20710.000626,361.619795,12161259.682304,20707873.739776,0.0,0.0,0.0,0.0
1776051191.4069364,13.1,288.527167488,20710.000626,361.619795,12161259.682304,20707873.743872,0.0,0.0,0.0,0.004096001386642456
1776051191.4934738,18.7,287.421169664,20710.001118,361.620053,12161259.682304,20707873.743872,0.0004919999992125668,0.0002579999999738902,0.0,0.0
1776051191.579412,6.5,287.420018688,20710.001118,361.620053,12161259.682304,20707873.743872,0.0,0.0,0.0,0.0
1776051191.6652598,6.2,287.57940224,20710.00127,361.620355,12161259.682304,20707873.8176,0.0001520000005257316,0.00030200000003333116,0.0,0.07372799888253212
1776051191.7537255,9.0,288.41955328,20710.001336,361.620355,12161259.682304,20707873.8176,6.600000051548705e-05,0.0,0.0,0.0
1776051191.839744,23.0,287.760371712,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051191.9259858,6.6,287.42981632,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051192.011775,6.5,287.429632,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051192.0972643,6.3,288.046645248,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051192.1844125,16.0,288.112717824,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051192.2710867,15.8,287.497732096,20710.001336,361.620355,12161259.682304,20707873.8176,0.0,0.0,0.0,0.0
1776051192.3571184,6.4,287.496904704,20710.001336,361.620355,12161259.682304,20707873.825792,0.0,0.0,0.0,0.008191999047994614
1776051192.443911,6.7,287.7666304,20710.001336,361.620355,12161259.682304,20707873.825792,0.0,0.0,0.0,0.0
1776051192.5296493,9.7,288.58597376,20710.001336,361.620355,12161259.682304,20707873.825792,0.0,0.0,0.0,0.0
1776051192.6155617,25.1,287.471652864,20710.001554,361.620657,12161259.682304,20707873.825792,0.00021799999740323983,0.00030199999997648774,0.0,0.0
1776051192.7014213,6.3,287.470473216,20710.001554,361.620657,12161259.682304,20707873.825792,0.0,0.0,0.0,0.0
1776051192.7872384,6.6,287.566942208,20710.001554,361.620657,12161259.682304,20707873.825792,0.0,0.0,0.0,0.0
1776051192.8739624,8.9,288.3562496,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.004096001386642456
1776051192.9601493,25.5,287.940395008,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.0464954,6.3,287.473913856,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.132349,6.5,287.473217536,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.2180324,7.5,287.94349568,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.3046536,11.1,288.55492608,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.391248,20.2,287.448813568,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.4773817,6.9,287.447629824,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.5631852,6.2,287.489572864,20710.001554,361.620657,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.649178,9.8,288.264937472,20710.001725,361.620762,12161259.682304,20707873.829888,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051193.7354598,24.6,288.1513472,20710.001725,361.620762,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.8216722,6.3,287.51173632,20710.001725,361.620762,12161259.682304,20707873.829888,0.0,0.0,0.0,0.0
1776051193.907636,6.7,287.510761472,20710.001725,361.620762,12161259.682304,20707873.850368,0.0,0.0,0.0,0.020479999482631683
1776051193.9932365,6.1,288.02246656,20710.001725,361.620762,12161259.682304,20707873.850368,0.0,0.0,0.0,0.0
1776051194.0789115,18.7,288.482811904,20710.001896,361.620867,12161259.682304,20707873.850368,0.00017100000331993215,0.00010499999996227416,0.0,0.0
1776051194.1666412,14.8,287.496564736,20710.001896,361.620867,12161259.682304,20707873.850368,0.0,0.0,0.0,0.0
1776051194.2525523,6.6,287.495708672,20710.001896,361.620867,12161259.682304,20707873.850368,0.0,0.0,0.0,0.0
1776051194.3381507,6.4,287.6146688,20710.001896,361.620867,12161259.682304,20707873.850368,0.0,0.0,0.0,0.0
1776051194.424389,9.1,288.408428544,20710.002067,361.620972,12161259.682304,20707873.854464,0.00017099999968195334,0.00010500000001911758,0.0,0.004095997661352158
1776051194.5108197,22.3,288.043741184,20710.002067,361.620972,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051194.5969143,6.7,287.494619136,20710.002067,361.620972,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051194.6825993,6.2,287.494619136,20710.002067,361.620972,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051194.7682939,6.6,288.040800256,20710.002595,361.641536,12161259.682304,20707873.854464,0.0005280000004859176,0.020563999999978932,0.0,0.0
1776051194.8539698,13.3,288.466653184,20710.003584,361.641668,12161259.682304,20707873.854464,0.0009889999964798335,0.00013200000000779255,0.0,0.0
1776051194.9399812,19.8,287.480844288,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.0264747,6.2,287.480684544,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.1121435,6.6,287.525715968,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.197929,10.4,288.298176512,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.2843947,23.6,288.156659712,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.3706222,7.1,287.485796352,20710.003584,361.641668,12161259.682304,20707873.854464,0.0,0.0,0.0,0.0
1776051195.456522,6.9,287.485157376,20710.003584,361.641668,12161259.682304,20707874.448384,0.0,0.0,0.0,0.5939200036227703
1776051195.5422764,6.2,287.975870464,20710.003755,361.641773,12161259.682304,20707874.448384,0.00017100000331993215,0.00010500000001911758,0.0,0.0
1776051195.628602,17.8,288.35710976,20710.003755,361.641773,12161259.682304,20707874.448384,0.0,0.0,0.0,0.0
1776051195.7147753,14.2,287.459835904,20710.003755,361.641773,12161259.682304,20707874.755584,0.0,0.0,0.0,0.30719999969005585
1776051195.8008642,6.5,287.431745536,20710.003755,361.641773,12161259.682304,20707874.755584,0.0,0.0,0.0,0.0
1776051195.887889,6.5,287.431749632,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.004095997661352158
1776051195.9735358,9.7,288.21311488,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.0597672,22.2,288.34226176,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.146761,7.9,287.502217216,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.232743,6.6,287.501299712,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.3182874,6.2,287.862366208,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.4041107,10.1,288.539164672,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.490322,23.8,287.717777408,20710.003755,361.641773,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.5763528,6.6,287.502635008,20710.004247,361.642031,12161259.682304,20707874.75968,0.0004919999992125668,0.0002579999999738902,0.0,0.0
1776051196.6620495,6.1,287.502635008,20710.004399,361.642333,12161259.682304,20707874.75968,0.0001520000005257316,0.00030200000003333116,0.0,0.0
1776051196.7536235,6.7,288.253702144,20710.004465,361.642333,12161259.682304,20707874.75968,6.600000051548705e-05,0.0,0.0,0.0
1776051196.8397694,24.4,288.508260352,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051196.926489,10.1,287.479627776,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051197.012343,6.8,287.479468032,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051197.098013,6.2,287.835357184,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051197.1838994,10.9,288.437395456,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051197.2707174,21.0,287.49213696,20710.004465,361.642333,12161259.682304,20707874.75968,0.0,0.0,0.0,0.0
1776051197.3569043,6.5,287.492890624,20710.004465,361.642333,12161259.682304,20707874.829312,0.0,0.0,0.0,0.06963200122117996
1776051197.4426255,6.1,287.58962176,20710.004465,361.642333,12161259.682304,20707874.833408,0.0,0.0,0.0,0.004096001386642456
1776051197.5286086,10.0,288.460939264,20710.004465,361.642333,12161259.682304,20707874.833408,0.0,0.0,0.0,0.0
1776051197.6153703,22.2,287.669149696,20710.004683,361.642635,12161259.682304,20707874.833408,0.00021799999740323983,0.00030199999997648774,0.0,0.0
1776051197.7013063,6.5,287.50114816,20710.004683,361.642635,12161259.682304,20707874.833408,0.0,0.0,0.0,0.0
1776051197.7872696,6.2,287.50114816,20710.004683,361.642635,12161259.682304,20707874.895872,0.0,0.0,0.0,0.062463998794555664
1776051197.874314,7.6,288.181399552,20710.004683,361.642635,12161259.682304,20707874.895872,0.0,0.0,0.0,0.0
1776051197.9602165,18.4,288.245137408,20710.004683,361.642635,12161259.682304,20707874.895872,0.0,0.0,0.0,0.0
1776051198.0465631,14.2,287.497424896,20710.004683,361.642635,12161259.682304,20707874.895872,0.0,0.0,0.0,0.0
1776051198.1322832,6.6,287.496400896,20710.004683,361.642635,12161259.682304,20707874.929664,0.0,0.0,0.0,0.03379200026392937
