workload,gpu_ids,num_gpus,mean_gpu_util,max_gpu_util,mean_power_W,max_power_W,mean_power_ratio,total_energy_kJ,mean_temp_C,thermal_headroom_C,mean_mem_util,mean_sm_clock_MHz,mean_cpu_pct,max_cpu_pct,mean_ram_GB,mean_net_rx_MBps,mean_net_tx_MBps,mean_disk_r_MBps,mean_disk_w_MBps,iters,perf_per_watt
idle_1x_GPU,[0],1,0.0,0.0,145.64790666666667,147.18,0.14564790666666666,2.1818564087791468,31.0,54.0,0.0,120.0,10.31,38.0,284.47782920192,3.3792642143361865e-05,0.00030797993311054055,0.0,0.005383705676698366,,
idle_2x_GPU,"[0, 1]",2,0.0,0.0,143.78296407185627,147.288,0.14378296407185628,4.303697610045911,29.143712574850298,55.8562874251497,0.0,120.0,10.279640718562874,23.8,284.5487967839042,6.683132530916594e-05,0.00021131325301203981,0.0,0.007254361455519515,,
pytorch_training_1x_GPU,[0],1,60.862470862470865,73.0,318.38240093240097,349.841,0.31838240093240094,7.167635151095391,35.64102564102564,49.35897435897436,3.4965034965034967,1863.2331002331002,11.04242424242424,38.6,285.4799693790583,3.6647196258140825e-05,0.000171359813084038,0.0,0.007749383172420698,1570.0,4.931177085800489
pytorch_training_2x_GPU,"[0, 1]",2,9.333333333333334,12.0,250.13921929824562,262.063,0.2501392192982456,10.154775740195031,32.300438596491226,52.699561403508774,0.0,1948.8157894736842,12.708333333333334,28.1,286.71367597361404,0.02372534361234002,0.023899687224669612,0.0,0.011000105725511055,280.0,1.1193766446762226
bert_finetune_1x_GPU,[0],1,39.366336633663366,42.0,279.03305445544555,287.643,0.2790330544554456,5.641264478361839,35.10891089108911,49.89108910891089,6.792079207920792,1965.0,11.693069306930694,39.4,287.07570170930694,2.6136476428232967e-05,0.00012254838709669337,0.0,0.0059064218390816195,8424.0,30.189971637733326
bert_finetune_2x_GPU,"[0, 1]",2,17.213043478260868,24.0,266.6060086956522,288.351,0.26660600869565215,10.751607859901899,32.46739130434783,52.53260869565217,2.4217391304347826,1965.0,11.432173913043476,28.1,287.0819082061913,5.8222707419063465e-05,0.00022332751091714895,0.0,0.009904628822897199,3546.0,13.300525435823864
gpt2_finetune_1x_GPU,[0],1,77.40533980582525,84.0,433.63771359223296,456.35,0.4336377135922331,8.94197820050287,39.23300970873787,45.76699029126213,18.385922330097088,1965.0,11.141504854368932,40.5,287.0978705746019,2.0377128947964687e-05,0.00011700000000002321,0.0,0.005612068122973407,5578.0,12.863272324245346
gpt2_finetune_2x_GPU,"[0, 1]",2,38.78991596638655,83.0,312.93295378151265,454.653,0.31293295378151254,12.885506120517727,34.588235294117645,50.411764705882355,9.21218487394958,1965.0,11.307142857142859,27.5,287.2808679819832,3.52151898679742e-05,0.00020360759493687818,0.0,0.01818788186784535,5613.0,17.936749492733043
resnet50_inference_1x_GPU,[0],1,89.97777777777777,93.0,468.8598740740741,484.798,0.46885987407407415,9.503938912504193,41.65925925925926,43.34074074074074,9.45679012345679,1965.0,11.158765432098763,38.5,287.1398220686222,2.2891089114150732e-05,0.00012205445544552303,0.0,0.007026059405490903,5148.0,10.979826350392013
resnet50_inference_2x_GPU,"[0, 1]",2,5.759090909090909,6.0,252.1006,259.851,0.2521006,10.245032856074811,33.06590909090909,51.93409090909091,0.0,1965.0,11.878636363636364,28.7,287.3410301765818,3.762557077262504e-05,0.0002199406392695659,0.0,0.008526319629389401,397.0,1.5747681679456536
modern_inference_1x_GPU,[0],1,94.85,96.0,665.3843775,684.393,0.6653843775,13.322872657553901,43.16,41.84,58.5525,1965.0,11.179749999999999,41.5,287.65704697856,2.43709273171701e-05,0.0001227568922306483,0.0,0.0061863458675698825,485527.0,729.6940181015897
modern_inference_2x_GPU,"[0, 1]",2,47.237991266375545,96.0,429.8355698689956,687.124,0.4298355698689956,17.18960173578406,36.838427947598255,48.161572052401745,29.137554585152838,1965.0,11.110480349344979,28.0,287.7182787297817,8.764473683473433e-05,0.00017123245614033964,0.0,0.009925614029430506,484100.0,1126.2446245375713
cufft_benchmark_1x_GPU,[0],1,93.8125,95.0,385.70119000000005,394.082,0.38570118999999997,7.716148862709762,41.295,43.705,0.0,1965.0,11.0715,38.0,287.73640057856,2.474436089990224e-05,6.986716791977317e-05,0.0,0.007155167923908783,1220425.0,3164.1722443220874
cufft_benchmark_2x_GPU,"[0, 1]",2,46.82905982905983,95.0,287.1859743589744,391.948,0.2871859743589744,11.48227338362193,34.47435897435897,50.52564102564103,0.0,1965.0,11.04871794871795,26.9,287.7035656358291,4.352360514523221e-05,0.00021287124463519578,0.0,0.007897545067921216,1220611.0,4250.245864981799
nbody_sim_1x_GPU,[0],1,93.575,95.0,525.5964849999999,538.924,0.525596485,10.515171436743017,42.2975,42.7025,17.73,1965.0,11.13175,39.4,287.70583174143997,2.8824561396552445e-05,0.00012661654135339822,0.0,0.006296701757307339,94004.0,178.8520332284947
nbody_sim_2x_GPU,"[0, 1]",2,46.86147186147186,95.0,358.05441341991343,538.419,0.3580544134199134,14.309678513285393,35.92424242424242,49.07575757575758,8.878787878787879,1965.0,11.254978354978356,28.2,287.7262086959654,5.4595652181888e-05,0.000224560869565207,0.0,0.010881113050424534,94153.0,262.95723909868616
scientific_hpc_1x_GPU,[0],1,98.8029197080292,100.0,797.1202700729928,820.584,0.7971202700729928,16.40697119351196,52.54987834549878,32.45012165450122,3.9610705596107056,1965.0,11.22457420924574,39.7,287.79907890203407,2.718536584657935e-05,0.00012234878048779935,0.0,0.00866778536540706,9225.0,11.57290856391754
scientific_hpc_2x_GPU,"[0, 1]",2,49.30125523012552,100.0,494.8888640167364,820.473,0.49488886401673643,20.373456248412133,41.35355648535565,43.64644351464435,1.9707112970711298,1965.0,10.992050209205019,27.3,287.8182289459415,4.511764706242067e-05,0.0002091596638655394,0.0,0.01186635293567381,9238.0,18.666817283016464
adversarial_training_1x_GPU,[0],1,56.86848635235732,60.0,273.5782555831265,281.244,0.27357825558312654,5.510434984055521,38.24813895781638,46.75186104218362,0.9851116625310173,1965.0,11.113151364764267,39.6,287.84851517236723,2.8582089545120676e-05,0.00012386815920402327,0.0,0.0080111442754666,1880.0,6.871891174219304
adversarial_training_2x_GPU,"[0, 1]",2,8.919565217391304,11.0,250.03625,256.703,0.25003624999999996,10.080157213580373,32.54782608695652,52.45217391304348,0.0,1965.0,11.639565217391302,27.7,288.18033108368695,4.811353712252699e-05,0.00021727947598253102,0.0,0.010678218327885632,327.0,1.307810367496713
nvlink_p2p_1x_GPU,[0],1,0.0,0.0,196.43007250000002,199.273,0.1964300725,3.9240636707060363,33.715,51.285,0.0,1965.0,10.30325,37.8,288.44220407808,2.7679197992347554e-05,0.0001250350877193168,0.0,0.00913900752227408,,
nvlink_p2p_2x_GPU,"[0, 1]",2,47.83982683982684,98.0,341.3081103896104,356.54,0.3413081103896104,13.724303123321533,33.54112554112554,51.45887445887446,10.335497835497835,1965.0,12.993939393939394,27.1,288.68709252765365,5.968695651339975e-05,0.00022940434782620523,0.0,0.6519518608794265,57527.0,168.5485877681949
