ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047355.6379225,0,36,8,18260.819968,192265.846784,532.771,39,1935,3996,36,0.0,0.0,8.63,3.038,0
1776047355.6814263,0,36,8,18260.819968,192265.846784,532.771,36,1935,3996,36,0.0,0.0,6.796,1.838,0
1776047355.7314253,0,36,8,18260.819968,192265.846784,597.061,36,1965,3996,36,0.0,0.0,6.866,3.089,0
1776047355.781406,0,54,13,18260.819968,192265.846784,597.061,46,1965,3996,54,0.0,0.0,6.81,1.853,0
1776047355.8315606,0,54,13,18260.819968,192265.846784,717.527,46,1552,3996,54,0.0,0.0,5.886,3.006,0
1776047355.88154,0,54,13,18260.819968,192265.846784,717.527,48,1552,3996,54,0.0,0.0,6.072,1.786,0
1776047355.9317412,0,54,13,18260.819968,192265.846784,779.43,48,1267,3996,54,0.0,0.0,6.077,3.076,0
1776047355.9816692,0,100,21,18260.819968,192265.846784,779.43,47,1267,3996,100,0.0,0.0,6.064,1.692,0
1776047356.0317962,0,100,21,18260.819968,192265.846784,793.66,47,1350,3996,100,0.0,0.0,6.045,3.033,0
1776047356.0819044,0,100,21,18260.819968,192265.846784,793.66,48,1350,3996,100,0.0,0.0,6.082,1.838,0
1776047356.1319602,0,100,21,18260.819968,192265.846784,807.525,48,1350,3996,100,0.0,0.0,6.236,3.038,0
1776047356.181936,0,100,20,18260.819968,192265.846784,807.525,48,1350,3996,100,0.0,0.0,6.258,1.716,0
1776047356.2319837,0,100,20,18260.819968,192265.846784,823.19,48,1380,3996,100,0.0,0.0,6.213,3.035,0
1776047356.2979255,0,100,20,18260.819968,192265.846784,823.19,49,1380,3996,100,0.0,0.0,5.932,27.062,0
1776047356.346348,0,100,20,18260.819968,192265.846784,836.291,49,1410,3996,100,0.0,0.0,12.051,1.56,0
1776047356.3915558,0,100,21,18260.819968,192265.846784,836.291,49,1410,3996,100,0.0,0.0,7.573,1.499,0
1776047356.442303,0,100,21,18260.819968,192265.846784,909.656,49,1185,3996,100,0.0,0.0,6.294,1.596,0
1776047356.4919,0,100,21,18260.819968,192265.846784,909.656,48,1185,3996,100,0.0,0.0,5.969,1.553,0
1776047356.5423489,0,100,21,18260.819968,192265.846784,934.565,48,1342,3996,100,0.0,0.0,6.633,1.792,0
1776047356.5918276,0,100,19,18260.819968,192265.846784,934.565,49,1342,3996,100,0.0,0.0,6.296,1.5,0
1776047356.6424212,0,100,19,18260.819968,192265.846784,1035.175,49,1342,3996,100,0.0,0.0,11.331,6.889,0
1776047356.6916664,0,100,19,18260.819968,192265.846784,1035.175,49,1342,3996,100,0.0,0.0,7.645,10.687,0
1776047356.755,0,100,19,18260.819968,192265.846784,1035.175,49,1320,3996,100,0.0,0.0,43.642,2.088,0
1776047356.7988153,0,100,20,18260.819968,192265.846784,1013.388,50,1320,3996,100,0.0,0.0,6.297,1.643,0
1776047356.8486195,0,100,20,18260.819968,192265.846784,1013.388,50,1327,3996,100,0.0,0.0,6.101,1.443,0
1776047356.898974,0,100,20,18260.819968,192265.846784,995.046,50,1327,3996,100,0.0,0.0,6.273,1.615,0
1776047356.9486666,0,100,20,18260.819968,192265.846784,995.046,50,1312,3996,100,0.0,0.0,6.069,1.478,0
1776047356.9987664,0,100,20,18260.819968,192265.846784,996.156,50,1312,3996,100,0.0,0.0,5.972,1.487,0
1776047357.0490701,0,100,20,18260.819968,192265.846784,996.156,50,1305,3996,100,0.0,0.0,6.274,1.594,0
1776047357.0992656,0,100,20,18260.819968,192265.846784,993.63,50,1305,3996,100,0.0,0.0,6.104,1.509,0
1776047357.1489089,0,100,20,18260.819968,192265.846784,993.63,50,1312,3996,100,0.0,0.0,5.965,1.48,0
1776047357.1999204,0,100,20,18260.819968,192265.846784,993.039,50,1312,3996,100,0.0,0.0,6.128,1.649,0
1776047357.2490635,0,100,20,18260.819968,192265.846784,993.039,50,1312,3996,100,0.0,0.0,5.906,1.522,0
1776047357.3147836,0,100,20,18260.819968,192265.846784,989.351,50,1312,3996,100,0.0,0.0,18.916,1.459,0
1776047357.3582976,0,100,20,18260.819968,192265.846784,989.351,50,1305,3996,100,0.0,0.0,6.026,1.602,0
1776047357.4083545,0,100,20,18260.819968,192265.846784,986.889,50,1305,3996,100,0.0,0.0,6.084,2.101,0
1776047357.470467,0,100,20,18260.819968,192265.846784,986.889,50,1350,3996,100,0.0,0.0,6.12,1.845,0
1776047357.5144408,0,100,20,18260.819968,192265.846784,995.682,50,1350,3996,100,0.0,0.0,5.881,1.452,0
1776047357.5651636,0,100,20,18260.819968,192265.846784,995.682,50,1335,3996,100,0.0,0.0,6.059,1.529,0
1776047357.6167667,0,100,20,18260.819968,192265.846784,998.063,50,1335,3996,100,0.0,0.0,9.55,1.585,0
1776047357.6642013,0,100,20,18260.819968,192265.846784,998.063,51,1327,3996,100,0.0,0.0,6.158,1.553,0
1776047357.7146635,0,100,20,18260.819968,192265.846784,996.705,51,1327,3996,100,0.0,0.0,5.973,1.595,0
1776047357.7641666,0,100,20,18260.819968,192265.846784,996.705,51,1342,3996,100,0.0,0.0,6.122,1.516,0
1776047357.81491,0,100,20,18260.819968,192265.846784,995.393,51,1342,3996,100,0.0,0.0,5.911,1.548,0
1776047357.86428,0,100,20,18260.819968,192265.846784,995.393,50,1305,3996,100,0.0,0.0,6.089,1.57,0
1776047357.915032,0,100,20,18260.819968,192265.846784,993.634,50,1305,3996,100,0.0,0.0,5.874,1.541,0
1776047357.9644644,0,100,20,18260.819968,192265.846784,993.634,51,1305,3996,100,0.0,0.0,6.314,1.608,0
1776047358.015193,0,100,20,18260.819968,192265.846784,992.564,51,1305,3996,100,0.0,0.0,6.146,1.553,0
1776047358.064581,0,100,20,18260.819968,192265.846784,992.564,51,1342,3996,100,0.0,0.0,6.336,1.53,0
1776047358.11443,0,100,20,18260.819968,192265.846784,994.368,51,1342,3996,100,0.0,0.0,6.093,1.56,0
1776047358.1646266,0,100,20,18260.819968,192265.846784,994.368,51,1335,3996,100,0.0,0.0,6.119,1.543,0
1776047358.2146266,0,100,20,18260.819968,192265.846784,992.86,51,1335,3996,100,0.0,0.0,6.105,1.617,0
1776047358.2673347,0,100,20,18260.819968,192265.846784,992.86,51,1342,3996,100,0.0,0.0,6.117,3.428,0
1776047358.3151815,0,100,20,18260.819968,192265.846784,992.405,51,1342,3996,100,0.0,0.0,5.913,1.694,0
1776047358.3651276,0,100,20,18260.819968,192265.846784,992.405,51,1312,3996,100,0.0,0.0,6.346,1.556,0
1776047358.415086,0,100,20,18260.819968,192265.846784,994.679,51,1312,3996,100,0.0,0.0,6.082,1.597,0
1776047358.465258,0,100,20,18260.819968,192265.846784,994.679,51,1312,3996,100,0.0,0.0,6.179,1.528,0
1776047358.516122,0,100,20,18260.819968,192265.846784,993.535,51,1312,3996,100,0.0,0.0,5.874,1.537,0
1776047358.5652251,0,100,20,18260.819968,192265.846784,993.535,51,1365,3996,100,0.0,0.0,6.132,1.602,0
1776047358.6152728,0,100,20,18260.819968,192265.846784,990.826,51,1365,3996,100,0.0,0.0,6.242,1.599,0
1776047358.6652877,0,100,20,18260.819968,192265.846784,990.826,51,1327,3996,100,0.0,0.0,6.099,1.541,0
1776047358.71552,0,100,20,18260.819968,192265.846784,991.542,51,1327,3996,100,0.0,0.0,6.097,1.608,0
1776047358.7653997,0,100,20,18260.819968,192265.846784,991.542,51,1305,3996,100,0.0,0.0,6.121,1.544,0
1776047358.8154185,0,100,20,18260.819968,192265.846784,990.504,51,1305,3996,100,0.0,0.0,6.255,1.597,0
1776047358.8655283,0,100,20,18260.819968,192265.846784,990.504,51,1327,3996,100,0.0,0.0,6.121,1.523,0
1776047358.9156482,0,100,20,18260.819968,192265.846784,992.819,51,1327,3996,100,0.0,0.0,6.302,1.557,0
1776047358.9655957,0,100,20,18260.819968,192265.846784,992.819,51,1342,3996,100,0.0,0.0,6.324,1.561,0
1776047359.0157733,0,100,20,18260.819968,192265.846784,994.905,51,1342,3996,100,0.0,0.0,6.069,1.582,0
1776047359.065812,0,100,20,18260.819968,192265.846784,994.905,52,1350,3996,100,0.0,0.0,6.285,1.507,0
1776047359.1159499,0,100,20,18260.819968,192265.846784,995.67,52,1350,3996,100,0.0,0.0,6.146,1.558,0
1776047359.1659486,0,100,20,18260.819968,192265.846784,995.67,52,1357,3996,100,0.0,0.0,6.127,1.6,0
1776047359.2159693,0,100,20,18260.819968,192265.846784,995.887,52,1357,3996,100,0.0,0.0,6.047,1.572,0
1776047359.2678597,0,100,20,18260.819968,192265.846784,995.887,52,1350,3996,100,0.0,0.0,5.944,2.987,0
1776047359.3160915,0,100,20,18260.819968,192265.846784,995.991,52,1350,3996,100,0.0,0.0,6.304,1.567,0
1776047359.3661606,0,100,20,18260.819968,192265.846784,995.991,51,1305,3996,100,0.0,0.0,6.135,1.639,0
1776047359.4161544,0,100,20,18260.819968,192265.846784,994.988,51,1305,3996,100,0.0,0.0,6.259,1.525,0
1776047359.4663196,0,100,20,18260.819968,192265.846784,994.988,52,1327,3996,100,0.0,0.0,6.277,1.511,0
1776047359.5162866,0,100,20,18260.819968,192265.846784,996.689,52,1327,3996,100,0.0,0.0,6.262,1.594,0
1776047359.5664954,0,100,20,18260.819968,192265.846784,996.689,52,1305,3996,100,0.0,0.0,6.086,1.619,0
1776047359.61644,0,100,20,18260.819968,192265.846784,997.696,52,1305,3996,100,0.0,0.0,6.073,1.59,0
1776047359.6665106,0,100,20,18260.819968,192265.846784,997.696,52,1320,3996,100,0.0,0.0,6.1,1.487,0
1776047359.7165527,0,100,20,18260.819968,192265.846784,997.583,52,1320,3996,100,0.0,0.0,6.041,1.558,0
1776047359.7665806,0,100,20,18260.819968,192265.846784,997.583,52,1297,3996,100,0.0,0.0,5.919,1.543,0
1776047359.816735,0,100,20,18260.819968,192265.846784,997.261,52,1297,3996,100,0.0,0.0,6.292,1.569,0
1776047359.8667886,0,100,20,18260.819968,192265.846784,997.261,52,1305,3996,100,0.0,0.0,6.089,1.564,0
1776047359.9167542,0,100,20,18260.819968,192265.846784,996.879,52,1305,3996,100,0.0,0.0,5.895,1.571,0
1776047359.966853,0,100,20,18260.819968,192265.846784,996.879,52,1305,3996,100,0.0,0.0,6.34,1.594,0
1776047360.0170205,0,100,20,18260.819968,192265.846784,993.58,52,1305,3996,100,0.0,0.0,5.917,1.632,0
1776047360.066979,0,100,20,18260.819968,192265.846784,993.58,52,1305,3996,100,0.0,0.0,6.135,1.553,0
1776047360.117002,0,100,20,18260.819968,192265.846784,992.146,52,1305,3996,100,0.0,0.0,5.853,1.543,0
1776047360.1671393,0,100,20,18260.819968,192265.846784,992.146,52,1305,3996,100,0.0,0.0,6.139,1.527,0
1776047360.2174895,0,100,20,18260.819968,192265.846784,989.938,52,1305,3996,100,0.0,0.0,6.266,1.694,0
1776047360.277808,0,100,20,18260.819968,192265.846784,989.938,52,1350,3996,100,0.0,0.0,6.074,9.623,0
1776047360.3212223,0,100,20,18260.819968,192265.846784,990.567,52,1350,3996,100,0.0,0.0,6.361,1.575,0
1776047360.371375,0,100,20,18260.819968,192265.846784,990.567,52,1357,3996,100,0.0,0.0,6.131,1.543,0
1776047360.421224,0,100,20,18260.819968,192265.846784,994.207,52,1357,3996,100,0.0,0.0,6.049,1.596,0
1776047360.4715865,0,100,20,18260.819968,192265.846784,994.207,52,1312,3996,100,0.0,0.0,6.193,1.504,0
1776047360.5268133,0,100,20,18260.819968,192265.846784,994.501,52,1312,3996,100,0.0,0.0,6.28,3.139,0
1776047360.5716023,0,100,20,18260.819968,192265.846784,994.501,52,1372,3996,100,0.0,0.0,6.294,1.594,0
1776047360.6226842,0,100,20,18260.819968,192265.846784,993.744,52,1372,3996,100,0.0,0.0,6.908,3.387,0
1776047360.6716774,0,100,20,18260.819968,192265.846784,993.744,52,1395,3996,100,0.0,0.0,6.105,1.577,0
1776047360.7227235,0,100,20,18260.819968,192265.846784,995.109,52,1395,3996,100,0.0,0.0,6.073,3.251,0
1776047360.7717755,0,100,20,18260.819968,192265.846784,995.109,52,1357,3996,100,0.0,0.0,6.127,1.592,0
1776047360.8228126,0,100,20,18260.819968,192265.846784,995.425,52,1357,3996,100,0.0,0.0,6.092,3.208,0
1776047360.8719547,0,100,20,18260.819968,192265.846784,995.425,52,1372,3996,100,0.0,0.0,6.136,1.585,0
