ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047460.770277,0,0,0,1898.840064,192265.846784,365.896,42,1965,3996,0,0.0,0.0,0.792,4.681,0
1776047460.8561456,1,0,0,776.863744,192265.846784,142.992,27,1890,3996,0,0.0,0.0,35.098,25.375,0
1776047460.901797,0,0,0,1965.948928,192265.846784,293.682,51,1965,3996,0,0.0,0.0,6.781,2.296,0
1776047460.9440606,1,0,0,777.91232,192265.846784,147.693,28,1965,3996,0,0.0,0.0,0.695,9.607,0
1776047460.9902658,0,100,23,1965.948928,192265.846784,362.846,52,1297,3996,100,0.0,0.0,7.125,14.296,0
1776047461.072019,1,0,0,778.698752,192265.846784,153.462,28,1965,3996,0,0.0,0.0,4.609,17.469,0
1776047461.1158583,0,100,23,1965.948928,192265.846784,446.544,53,1372,3996,100,0.0,0.0,6.476,1.866,0
1776047461.1585357,1,0,0,1403.912192,192265.846784,158.337,28,1965,3996,0,0.0,0.0,21.609,1.729,0
1776047461.202037,0,100,21,1965.948928,192265.846784,523.731,54,1455,3996,100,0.0,0.0,6.459,1.716,0
1776047461.2450268,1,2,0,1898.840064,192265.846784,181.56,28,1965,3996,2,0.0,0.0,6.83,3.076,0
1776047461.3025486,0,100,21,1965.948928,192265.846784,600.104,54,1447,3996,100,0.0,0.0,6.221,12.785,0
1776047461.3458655,1,2,0,1898.840064,192265.846784,293.839,39,1372,3996,2,0.0,0.0,6.114,3.001,0
1776047461.389418,0,100,22,1965.948928,192265.846784,697.462,55,1440,3996,100,0.0,0.0,6.459,1.642,0
1776047461.43275,1,2,0,1898.840064,192265.846784,396.158,40,1372,3996,2,0.0,0.0,6.283,1.633,0
1776047461.4761925,0,100,22,1965.948928,192265.846784,776.517,56,1447,3996,100,0.0,0.0,6.427,1.601,0
1776047461.5196085,1,100,21,1898.840064,192265.846784,396.158,42,1425,3996,100,0.0,0.0,6.344,1.624,0
1776047461.5631084,0,100,22,1965.948928,192265.846784,776.517,57,1305,3996,100,0.0,0.0,5.95,1.547,0
1776047461.6063645,1,100,21,1898.840064,192265.846784,469.937,43,1417,3996,100,0.0,0.0,6.292,1.587,0
1776047461.6499896,0,100,22,1965.948928,192265.846784,860.686,55,1305,3996,100,0.0,0.0,6.399,1.512,0
1776047461.693299,1,100,21,1898.840064,192265.846784,555.681,44,1417,3996,100,0.0,0.0,6.279,1.697,0
1776047461.7368524,0,100,22,1965.948928,192265.846784,950.197,55,1305,3996,100,0.0,0.0,6.124,3.082,0
1776047461.7802951,1,100,21,1898.840064,192265.846784,666.775,45,1417,3996,100,0.0,0.0,6.31,1.577,0
1776047461.8252873,0,100,20,1965.948928,192265.846784,1026.305,55,1305,3996,100,0.0,0.0,6.082,3.026,0
1776047461.8687205,1,100,21,1898.840064,192265.846784,752.307,45,1417,3996,100,0.0,0.0,6.165,1.594,0
1776047461.912333,0,100,20,1965.948928,192265.846784,1001.977,56,1342,3996,100,0.0,0.0,6.122,1.637,0
1776047461.9674673,1,100,21,1898.840064,192265.846784,830.578,45,1357,3996,100,0.0,0.0,6.014,1.515,0
1776047462.0112097,0,100,20,1965.948928,192265.846784,1002.978,56,1372,3996,100,0.0,0.0,6.332,1.601,0
1776047462.0546076,1,100,20,1898.840064,192265.846784,892.346,45,1357,3996,100,0.0,0.0,6.116,3.001,0
1776047462.0981476,0,100,20,1965.948928,192265.846784,1007.2,56,1372,3996,100,0.0,0.0,6.269,1.667,0
1776047462.1414268,1,100,20,1898.840064,192265.846784,986.305,45,1357,3996,100,0.0,0.0,5.844,2.993,0
1776047462.1851804,0,100,20,1965.948928,192265.846784,1005.903,56,1372,3996,100,0.0,0.0,6.278,1.665,0
1776047462.2293446,1,100,20,1898.840064,192265.846784,986.305,45,1365,3996,100,0.0,0.0,6.058,1.548,0
1776047462.272765,0,100,20,1965.948928,192265.846784,1000.122,56,1372,3996,100,0.0,0.0,6.272,1.603,0
1776047462.3161914,1,100,20,1898.840064,192265.846784,1030.059,46,1365,3996,100,0.0,0.0,6.093,1.586,0
1776047462.3597417,0,100,20,1965.948928,192265.846784,1000.122,56,1372,3996,100,0.0,0.0,6.382,1.571,0
1776047462.4030046,1,100,20,1898.840064,192265.846784,1005.116,46,1365,3996,100,0.0,0.0,6.296,1.675,0
1776047462.4466076,0,100,20,1965.948928,192265.846784,994.715,56,1372,3996,100,0.0,0.0,6.243,3.112,0
1776047462.4901352,1,100,20,1898.840064,192265.846784,1004.944,46,1387,3996,100,0.0,0.0,6.087,1.7,0
1776047462.545348,0,100,20,1965.948928,192265.846784,987.988,56,1372,3996,100,0.0,0.0,7.186,3.422,0
1776047462.5901039,1,100,20,1898.840064,192265.846784,1000.438,46,1387,3996,100,0.0,0.0,6.231,1.71,0
1776047462.6336334,0,100,20,1965.948928,192265.846784,982.386,56,1372,3996,100,0.0,0.0,6.075,3.109,0
1776047462.676931,1,100,20,1898.840064,192265.846784,997.986,46,1387,3996,100,0.0,0.0,6.12,1.563,0
1776047462.7204194,0,100,20,1965.948928,192265.846784,988.154,56,1372,3996,100,0.0,0.0,6.313,1.639,0
1776047462.7638333,1,100,20,1898.840064,192265.846784,991.818,46,1387,3996,100,0.0,0.0,6.075,3.0,0
1776047462.8074667,0,100,21,1965.948928,192265.846784,990.934,56,1387,3996,100,0.0,0.0,6.321,1.618,0
1776047462.8508558,1,100,20,1898.840064,192265.846784,986.842,47,1387,3996,100,0.0,0.0,6.057,3.033,0
1776047462.894422,0,100,21,1965.948928,192265.846784,996.611,57,1387,3996,100,0.0,0.0,6.073,1.596,0
1776047462.9482598,1,100,20,1898.840064,192265.846784,986.576,47,1372,3996,100,0.0,0.0,16.351,3.398,0
1776047462.9916756,0,100,20,1965.948928,192265.846784,995.546,56,1395,3996,100,0.0,0.0,5.991,1.623,0
1776047463.0348918,1,100,20,1898.840064,192265.846784,989.593,47,1387,3996,100,0.0,0.0,6.246,1.557,0
1776047463.0784187,0,100,20,1965.948928,192265.846784,993.761,56,1372,3996,100,0.0,0.0,6.278,1.576,0
1776047463.1217222,1,100,20,1898.840064,192265.846784,989.593,47,1387,3996,100,0.0,0.0,6.169,1.549,0
1776047463.1652203,0,100,20,1965.948928,192265.846784,993.761,56,1372,3996,100,0.0,0.0,6.307,1.592,0
1776047463.2084625,1,100,20,1898.840064,192265.846784,990.633,47,1387,3996,100,0.0,0.0,6.086,1.63,0
1776047463.2521875,0,100,20,1965.948928,192265.846784,993.264,56,1387,3996,100,0.0,0.0,6.509,1.611,0
1776047463.295569,1,100,20,1898.840064,192265.846784,993.124,47,1387,3996,100,0.0,0.0,6.301,1.642,0
1776047463.3392823,0,100,20,1965.948928,192265.846784,993.494,56,1387,3996,100,0.0,0.0,6.387,3.087,0
1776047463.382521,1,100,20,1898.840064,192265.846784,993.296,47,1387,3996,100,0.0,0.0,6.076,1.569,0
1776047463.4261153,0,100,20,1965.948928,192265.846784,993.543,56,1372,3996,100,0.0,0.0,6.318,1.623,0
1776047463.4692843,1,100,20,1898.840064,192265.846784,992.642,47,1387,3996,100,0.0,0.0,6.089,1.574,0
1776047463.5128,0,100,20,1965.948928,192265.846784,993.843,57,1372,3996,100,0.0,0.0,6.113,1.611,0
1776047463.5561419,1,100,20,1898.840064,192265.846784,992.999,47,1387,3996,100,0.0,0.0,6.064,2.996,0
1776047463.599773,0,100,20,1965.948928,192265.846784,993.7,57,1372,3996,100,0.0,0.0,6.109,1.637,0
1776047463.6431344,1,100,20,1898.840064,192265.846784,992.386,47,1387,3996,100,0.0,0.0,6.13,1.573,0
1776047463.6866987,0,100,20,1965.948928,192265.846784,993.164,57,1372,3996,100,0.0,0.0,6.034,1.626,0
1776047463.730149,1,100,20,1898.840064,192265.846784,992.386,48,1387,3996,100,0.0,0.0,6.132,1.601,0
1776047463.7918863,0,100,20,1965.948928,192265.846784,993.164,56,1387,3996,100,0.0,0.0,6.0,1.641,0
1776047463.8352692,1,100,20,1898.840064,192265.846784,992.073,48,1357,3996,100,0.0,0.0,6.057,1.559,0
1776047463.878822,0,100,20,1965.948928,192265.846784,988.079,56,1372,3996,100,0.0,0.0,6.058,1.664,0
1776047463.9433877,1,100,20,1898.840064,192265.846784,992.073,48,1380,3996,100,0.0,0.0,6.116,18.706,0
1776047463.9870248,0,100,20,1965.948928,192265.846784,988.649,56,1372,3996,100,0.0,0.0,6.078,1.597,0
1776047464.030414,1,100,20,1898.840064,192265.846784,992.83,48,1380,3996,100,0.0,0.0,6.327,1.569,0
1776047464.0753772,0,100,20,1965.948928,192265.846784,988.649,56,1372,3996,100,0.0,0.0,6.035,1.695,0
1776047464.1187594,1,100,21,1898.840064,192265.846784,993.408,48,1387,3996,100,0.0,0.0,6.136,1.582,0
1776047464.1623628,0,100,20,1965.948928,192265.846784,988.159,56,1395,3996,100,0.0,0.0,6.342,1.638,0
1776047464.2060869,1,100,21,1898.840064,192265.846784,992.99,48,1372,3996,100,0.0,0.0,6.642,1.591,0
1776047464.2496092,0,100,21,1965.948928,192265.846784,988.439,57,1395,3996,100,0.0,0.0,6.132,1.704,0
1776047464.2929497,1,100,20,1898.840064,192265.846784,992.745,48,1380,3996,100,0.0,0.0,6.068,1.667,0
1776047464.336736,0,100,21,1965.948928,192265.846784,988.021,56,1372,3996,100,0.0,0.0,6.389,3.18,0
1776047464.380013,1,100,20,1898.840064,192265.846784,993.176,48,1372,3996,100,0.0,0.0,5.871,1.572,0
1776047464.4236968,0,100,20,1965.948928,192265.846784,986.951,57,1402,3996,100,0.0,0.0,6.293,1.671,0
1776047464.4684331,1,100,20,1898.840064,192265.846784,993.176,48,1387,3996,100,0.0,0.0,6.351,1.587,0
1776047464.5119116,0,100,20,1965.948928,192265.846784,987.856,57,1387,3996,100,0.0,0.0,6.094,1.591,0
1776047464.5552042,1,100,20,1898.840064,192265.846784,992.382,48,1387,3996,100,0.0,0.0,6.1,3.012,0
1776047464.5987742,0,100,20,1965.948928,192265.846784,988.901,57,1402,3996,100,0.0,0.0,6.319,1.658,0
1776047464.6421108,1,100,20,1898.840064,192265.846784,992.559,48,1387,3996,100,0.0,0.0,6.108,1.666,0
1776047464.6857255,0,100,20,1965.948928,192265.846784,989.885,57,1387,3996,100,0.0,0.0,6.136,1.682,0
1776047464.7290363,1,100,20,1898.840064,192265.846784,992.111,48,1357,3996,100,0.0,0.0,6.084,1.664,0
1776047464.7727256,0,100,20,1965.948928,192265.846784,989.885,57,1372,3996,100,0.0,0.0,6.398,1.615,0
