ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047553.0309534,0,0,0,3064.856576,192265.846784,441.295,44,1965,3996,0,0.0,0.0,0.786,0.828,0
1776047553.0733922,1,0,0,2899.181568,192265.846784,190.557,30,1965,3996,0,0.0,0.0,0.609,0.644,0
1776047553.1154907,0,0,0,3064.856576,192265.846784,352.537,44,1965,3996,0,0.0,0.0,0.688,0.641,0
1776047553.1574671,1,0,0,2899.181568,192265.846784,190.559,30,1965,3996,0,0.0,0.0,0.682,0.638,0
1776047553.2006142,0,0,0,3064.856576,192265.846784,290.188,44,1965,3996,0,0.0,0.0,0.743,0.759,0
1776047553.2430074,1,0,0,2899.181568,192265.846784,190.56,30,1965,3996,0,0.0,0.0,0.725,0.823,0
1776047553.2863886,0,0,0,3064.856576,192265.846784,208.37,43,1965,3996,0,0.0,0.0,0.699,1.314,0
1776047553.328799,1,0,0,2899.181568,192265.846784,190.52,30,1965,3996,0,0.0,0.0,0.704,0.736,0
1776047553.3711739,0,0,0,3064.856576,192265.846784,207.689,43,1965,3996,0,0.0,0.0,0.874,2.134,0
1776047553.4131687,1,0,0,2899.181568,192265.846784,190.506,30,1965,3996,0,0.0,0.0,0.712,0.649,0
1776047553.455306,0,0,0,3064.856576,192265.846784,207.689,43,1965,3996,0,0.0,0.0,0.757,0.631,0
1776047553.4974473,1,0,0,2899.181568,192265.846784,190.584,30,1965,3996,0,0.0,0.0,0.67,2.144,0
1776047553.539636,0,0,0,3064.856576,192265.846784,207.522,43,1965,3996,0,0.0,0.0,0.712,0.777,0
1776047553.581641,1,0,0,2899.181568,192265.846784,190.612,29,1965,3996,0,0.0,0.0,0.645,2.125,0
1776047553.6237466,0,0,0,3064.856576,192265.846784,206.991,43,1965,3996,0,0.0,0.0,0.775,0.654,0
1776047553.6658628,1,0,0,2899.181568,192265.846784,190.612,30,1965,3996,0,0.0,0.0,0.736,0.587,0
1776047553.7084303,0,0,0,3064.856576,192265.846784,206.583,43,1965,3996,0,0.0,0.0,0.656,0.651,0
1776047553.750414,1,0,0,2899.181568,192265.846784,190.624,30,1965,3996,0,0.0,0.0,0.662,0.736,0
