ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047581.1322145,0,0,0,4040.032256,192265.846784,201.315,39,1965,3996,0,0.0,0.0,0.64,0.693,0
1776047581.174331,1,0,0,3972.923392,192265.846784,197.097,37,1965,3996,0,0.0,0.0,0.72,0.633,0
1776047581.216595,0,0,0,4040.032256,192265.846784,201.274,39,1965,3996,0,0.0,0.0,0.708,0.697,0
1776047581.2585926,1,0,0,3972.923392,192265.846784,196.949,37,1965,3996,0,0.0,0.0,0.748,0.739,0
1776047581.3007002,0,0,0,4040.032256,192265.846784,201.274,39,1965,3996,0,0.0,0.0,0.748,0.703,0
1776047581.3427908,1,0,0,3972.923392,192265.846784,196.847,37,1965,3996,0,0.0,0.0,0.698,0.654,0
1776047581.384807,0,0,0,4040.032256,192265.846784,201.214,39,1965,3996,0,0.0,0.0,0.661,2.156,0
1776047581.4269238,1,0,0,3972.923392,192265.846784,196.725,37,1965,3996,0,0.0,0.0,0.72,2.112,0
1776047581.4689474,0,0,0,4040.032256,192265.846784,201.153,39,1965,3996,0,0.0,0.0,0.676,0.641,0
1776047581.5110118,1,0,0,3972.923392,192265.846784,196.683,37,1965,3996,0,0.0,0.0,0.661,2.138,0
1776047581.552981,0,0,0,4040.032256,192265.846784,201.074,39,1965,3996,0,0.0,0.0,0.666,0.637,0
1776047581.5949087,1,0,0,3972.923392,192265.846784,196.646,37,1965,3996,0,0.0,0.0,0.656,0.69,0
1776047581.6370037,0,0,0,4040.032256,192265.846784,200.975,39,1965,3996,0,0.0,0.0,0.677,0.725,0
1776047581.6789064,1,0,0,3972.923392,192265.846784,196.646,36,1965,3996,0,0.0,0.0,0.69,0.635,0
1776047581.7208474,0,0,0,4040.032256,192265.846784,201.002,39,1965,3996,0,0.0,0.0,0.637,0.648,0
1776047581.763004,1,0,0,3972.923392,192265.846784,196.582,36,1965,3996,0,0.0,0.0,0.724,0.739,0
1776047581.8050005,0,0,0,4040.032256,192265.846784,201.002,39,1965,3996,0,0.0,0.0,0.694,0.657,0
1776047581.847788,1,0,0,3972.923392,192265.846784,196.444,36,1965,3996,0,0.0,0.0,0.675,1.005,0
1776047581.889936,0,0,0,4040.032256,192265.846784,200.93,39,1965,3996,0,0.0,0.0,0.645,2.195,0
1776047581.9319024,1,0,0,3972.923392,192265.846784,196.361,36,1965,3996,0,0.0,0.0,0.691,0.657,0
1776047581.9746678,0,0,0,4040.032256,192265.846784,200.909,39,1965,3996,0,0.0,0.0,0.677,2.747,0
1776047582.016644,1,0,0,3972.923392,192265.846784,196.327,36,1965,3996,0,0.0,0.0,0.661,2.098,0
1776047582.0586672,0,0,0,4040.032256,192265.846784,200.906,39,1965,3996,0,0.0,0.0,0.708,0.648,0
1776047582.1005335,1,0,0,3972.923392,192265.846784,196.301,36,1965,3996,0,0.0,0.0,0.638,0.659,0
1776047582.1426096,0,0,0,4040.032256,192265.846784,200.897,39,1965,3996,0,0.0,0.0,0.666,0.68,0
1776047582.1846964,1,0,0,3972.923392,192265.846784,196.301,36,1965,3996,0,0.0,0.0,0.736,0.736,0
1776047582.2266757,0,0,0,4040.032256,192265.846784,200.908,39,1965,3996,0,0.0,0.0,0.661,0.663,0
1776047582.2688775,1,0,0,3972.923392,192265.846784,196.304,36,1965,3996,0,0.0,0.0,0.679,0.81,0
1776047582.3115866,0,0,0,4040.032256,192265.846784,200.908,39,1965,3996,0,0.0,0.0,0.817,0.759,0
1776047582.3646472,1,0,0,3972.923392,192265.846784,196.257,36,1965,3996,0,0.0,0.0,0.622,0.732,0
1776047582.407243,0,0,0,4040.032256,192265.846784,200.834,39,1965,3996,0,0.0,0.0,0.714,0.656,0
1776047582.4493384,1,0,0,3972.923392,192265.846784,196.196,36,1965,3996,0,0.0,0.0,0.712,0.732,0
1776047582.4913166,0,0,0,4040.032256,192265.846784,200.778,39,1965,3996,0,0.0,0.0,0.656,2.153,0
1776047582.544102,1,0,0,3972.923392,192265.846784,196.13,36,1965,3996,0,0.0,0.0,0.702,12.596,0
1776047582.5862243,0,0,0,4040.032256,192265.846784,200.79,39,1965,3996,0,0.0,0.0,0.677,2.144,0
1776047582.6286829,1,0,0,3972.923392,192265.846784,196.032,36,1965,3996,0,0.0,0.0,0.741,2.173,0
1776047582.6706915,0,0,0,4040.032256,192265.846784,200.794,39,1965,3996,0,0.0,0.0,0.678,0.654,0
1776047582.7125778,1,0,0,3972.923392,192265.846784,195.914,36,1965,3996,0,0.0,0.0,0.644,0.656,0
1776047582.7550378,0,0,0,4040.032256,192265.846784,200.749,39,1965,3996,0,0.0,0.0,0.664,0.69,0
1776047582.796941,1,0,0,3972.923392,192265.846784,195.914,36,1965,3996,0,0.0,0.0,0.678,0.657,0
1776047582.8389702,0,0,0,4040.032256,192265.846784,200.785,39,1965,3996,0,0.0,0.0,0.658,0.707,0
1776047582.8808966,1,0,0,3972.923392,192265.846784,195.865,36,1965,3996,0,0.0,0.0,0.656,0.734,0
1776047582.9229593,0,0,0,4040.032256,192265.846784,200.797,39,1965,3996,0,0.0,0.0,0.648,0.657,0
