ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047488.4799497,0,0,0,1965.948928,192265.846784,206.612,43,1965,3996,0,0.0,0.0,45.027,3.465,0
1776047488.5233233,1,0,0,2899.181568,192265.846784,196.444,37,1965,3996,0,0.0,0.0,18.407,8.857,0
1776047488.5661786,0,0,0,2966.290432,192265.846784,213.798,43,1965,3996,0,0.0,0.0,2.096,1.522,0
1776047488.60898,1,0,7,2899.181568,192265.846784,204.455,37,1965,3996,0,0.0,0.0,18.351,8.92,0
1776047488.651923,0,0,0,2966.290432,192265.846784,213.798,43,1965,3996,0,0.0,0.0,2.163,2.943,0
1776047488.6946352,1,0,7,2899.181568,192265.846784,221.422,37,1965,3996,0,0.0,0.0,18.272,8.814,0
1776047488.7376869,0,80,9,2966.290432,192265.846784,230.55,44,1965,3996,80,0.0,0.0,2.092,3.076,0
1776047488.780452,1,0,7,2899.181568,192265.846784,221.422,37,1965,3996,0,0.0,0.0,18.145,8.8,0
1776047488.8233838,0,80,9,2966.290432,192265.846784,248.304,44,1965,3996,80,0.0,0.0,2.078,1.612,0
1776047488.8663073,1,0,13,2899.181568,192265.846784,236.393,37,1965,3996,0,0.0,0.0,18.5,10.211,0
1776047488.9091306,0,99,11,2966.290432,192265.846784,265.558,44,1965,3996,99,0.0,0.0,2.101,1.517,0
1776047488.9519613,1,0,13,2899.181568,192265.846784,251.076,37,1965,3996,0,0.0,0.0,18.283,8.939,0
1776047488.994917,0,99,11,2966.290432,192265.846784,281.531,44,1965,3996,99,0.0,0.0,2.147,1.548,0
1776047489.037698,1,0,13,2899.181568,192265.846784,266.655,37,1965,3996,0,0.0,0.0,18.352,8.848,0
1776047489.080597,0,99,11,2966.290432,192265.846784,298.513,44,1965,3996,99,0.0,0.0,2.021,1.532,0
1776047489.1234121,1,0,13,2899.181568,192265.846784,279.923,37,1965,3996,0,0.0,0.0,18.267,8.843,0
1776047489.1663034,0,99,11,2966.290432,192265.846784,315.568,44,1965,3996,99,0.0,0.0,2.087,1.477,0
1776047489.2095768,1,0,13,2899.181568,192265.846784,294.709,37,1965,3996,0,0.0,0.0,18.545,9.009,0
1776047489.2523506,0,99,11,2966.290432,192265.846784,315.568,44,1965,3996,99,0.0,0.0,2.049,2.998,0
1776047489.2950666,1,0,13,2899.181568,192265.846784,310.5,37,1965,3996,0,0.0,0.0,18.259,8.86,0
1776047489.3379066,0,99,11,2966.290432,192265.846784,335.392,44,1965,3996,99,0.0,0.0,2.038,2.929,0
1776047489.3806574,1,0,13,2899.181568,192265.846784,310.5,37,1965,3996,0,0.0,0.0,18.366,8.854,0
1776047489.4236372,0,99,11,2966.290432,192265.846784,350.008,44,1965,3996,99,0.0,0.0,2.052,1.613,0
1776047489.4665608,1,0,13,2899.181568,192265.846784,324.053,37,1965,3996,0,0.0,0.0,18.361,10.293,0
1776047489.509503,0,99,11,2966.290432,192265.846784,370.209,44,1965,3996,99,0.0,0.0,2.115,1.507,0
1776047489.5523615,1,0,13,2899.181568,192265.846784,341.617,37,1965,3996,0,0.0,0.0,18.177,8.912,0
1776047489.5953417,0,99,11,2966.290432,192265.846784,380.351,44,1965,3996,99,0.0,0.0,2.074,1.567,0
1776047489.638134,1,0,13,2899.181568,192265.846784,345.833,37,1965,3996,0,0.0,0.0,18.373,8.792,0
1776047489.6810641,0,99,11,2966.290432,192265.846784,380.54,44,1965,3996,99,0.0,0.0,2.054,1.51,0
1776047489.7238812,1,0,13,2899.181568,192265.846784,345.889,37,1965,3996,0,0.0,0.0,18.41,8.925,0
1776047489.7666962,0,99,11,2966.290432,192265.846784,380.492,44,1965,3996,99,0.0,0.0,2.083,1.501,0
1776047489.8097901,1,0,13,2899.181568,192265.846784,345.828,37,1965,3996,0,0.0,0.0,18.29,9.358,0
1776047489.8527372,0,99,11,2966.290432,192265.846784,380.492,44,1965,3996,99,0.0,0.0,2.103,2.971,0
1776047489.895474,1,0,13,2899.181568,192265.846784,345.854,37,1965,3996,0,0.0,0.0,18.124,8.751,0
1776047489.938418,0,99,11,2966.290432,192265.846784,380.68,44,1965,3996,99,0.0,0.0,2.129,2.958,0
1776047489.9812152,1,0,13,2899.181568,192265.846784,345.854,37,1965,3996,0,0.0,0.0,18.284,8.856,0
1776047490.0240948,0,99,11,2966.290432,192265.846784,380.604,44,1965,3996,99,0.0,0.0,2.051,1.589,0
1776047490.0669904,1,0,13,2899.181568,192265.846784,345.809,37,1965,3996,0,0.0,0.0,18.459,10.33,0
1776047490.1098554,0,99,11,2966.290432,192265.846784,380.623,44,1965,3996,99,0.0,0.0,2.107,1.529,0
1776047490.1526208,1,0,13,2899.181568,192265.846784,345.832,37,1965,3996,0,0.0,0.0,18.262,8.96,0
1776047490.1955433,0,99,11,2966.290432,192265.846784,380.628,44,1965,3996,99,0.0,0.0,2.099,1.583,0
1776047490.238371,1,0,13,2899.181568,192265.846784,345.838,37,1965,3996,0,0.0,0.0,18.281,8.873,0
1776047490.2813854,0,99,11,2966.290432,192265.846784,380.535,44,1965,3996,99,0.0,0.0,2.091,1.604,0
1776047490.3242028,1,0,13,2899.181568,192265.846784,345.85,37,1965,3996,0,0.0,0.0,18.248,8.767,0
1776047490.3674524,0,99,11,2966.290432,192265.846784,380.378,44,1965,3996,99,0.0,0.0,2.147,1.631,0
1776047490.410698,1,0,13,2899.181568,192265.846784,345.815,37,1965,3996,0,0.0,0.0,18.339,9.486,0
1776047490.4536324,0,99,11,2966.290432,192265.846784,380.378,44,1965,3996,99,0.0,0.0,2.085,2.949,0
1776047490.4963458,1,0,13,2899.181568,192265.846784,345.769,37,1965,3996,0,0.0,0.0,18.28,8.859,0
1776047490.53928,0,99,11,2966.290432,192265.846784,380.385,44,1965,3996,99,0.0,0.0,2.141,2.938,0
1776047490.5820735,1,0,13,2899.181568,192265.846784,345.769,37,1965,3996,0,0.0,0.0,18.424,8.855,0
1776047490.6249049,0,99,11,2966.290432,192265.846784,380.372,44,1965,3996,99,0.0,0.0,2.048,1.601,0
1776047490.6677322,1,0,13,2899.181568,192265.846784,345.735,37,1965,3996,0,0.0,0.0,18.259,10.138,0
1776047490.7106354,0,99,11,2966.290432,192265.846784,380.367,44,1965,3996,99,0.0,0.0,2.16,1.467,0
1776047490.7535906,1,0,13,2899.181568,192265.846784,345.69,37,1965,3996,0,0.0,0.0,18.327,8.916,0
1776047490.796524,0,99,11,2966.290432,192265.846784,380.388,44,1965,3996,99,0.0,0.0,2.084,1.544,0
1776047490.8393002,1,0,13,2899.181568,192265.846784,345.721,37,1965,3996,0,0.0,0.0,18.381,8.815,0
1776047490.8822758,0,99,11,2966.290432,192265.846784,380.3,44,1965,3996,99,0.0,0.0,1.978,1.569,0
1776047490.925065,1,0,13,2899.181568,192265.846784,345.66,37,1965,3996,0,0.0,0.0,18.266,8.812,0
1776047490.9679325,0,99,11,2966.290432,192265.846784,380.286,44,1965,3996,99,0.0,0.0,2.113,1.498,0
1776047491.0111005,1,0,13,2899.181568,192265.846784,345.62,37,1965,3996,0,0.0,0.0,18.287,9.353,0
1776047491.0538766,0,99,11,2966.290432,192265.846784,380.286,44,1965,3996,99,0.0,0.0,2.112,2.962,0
1776047491.0966585,1,0,13,2899.181568,192265.846784,345.647,37,1965,3996,0,0.0,0.0,18.283,8.814,0
1776047491.1396554,0,99,11,2966.290432,192265.846784,380.253,44,1965,3996,99,0.0,0.0,2.131,2.944,0
1776047491.1824853,1,0,13,2899.181568,192265.846784,345.647,36,1965,3996,0,0.0,0.0,18.349,8.888,0
1776047491.225306,0,99,11,2966.290432,192265.846784,380.218,44,1965,3996,99,0.0,0.0,2.06,1.612,0
1776047491.2681353,1,0,13,2899.181568,192265.846784,345.56,36,1965,3996,0,0.0,0.0,18.278,10.443,0
