model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,task,window_sec
RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,
SVM_RBF,0.9875,0.024999999999999998,0.9817142857142857,0.03657142857142856,0.9868571428571429,0.026285714285714287,binary_training_vs_rest,
LogisticRegression,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,
RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,threeway,
SVM_RBF,0.975,0.03061862178478973,0.9640211640211639,0.04990402591556236,0.9728174603174603,0.03336402592993633,threeway,
LogisticRegression,1.0,0.0,1.0,0.0,1.0,0.0,threeway,
RandomForest,0.9558823529411764,0.01470588235294118,0.8933333333333333,0.01777777777777778,0.9450980392156862,0.015686274509803866,multiclass_label,
SVM_RBF,0.9117647058823529,0.0,0.8669047619047618,0.014206349206349222,0.9052170868347338,0.006057422969187709,multiclass_label,
LogisticRegression,0.9264705882352942,0.01470588235294118,0.8707936507936507,0.01809523809523811,0.9201680672268907,0.021008403361344574,multiclass_label,
RandomForest,0.9875,0.021650635094610987,0.9615384615384616,0.06661733875264912,0.9817307692307693,0.03164323590750832,multiclass_category,
SVM_RBF,0.9625,0.041457809879442496,0.9167538810395953,0.0837250144412139,0.9515720390720391,0.051263903393186115,multiclass_category,
LogisticRegression,0.9875,0.021650635094610984,0.9848484848484849,0.02624319405407387,0.9890151515151515,0.019026315689203578,multiclass_category,
RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,30.0
SVM_RBF,0.9985611510791367,0.002877697841726601,0.9943507417191627,0.011298516561674443,0.9985260643344702,0.002947871331059471,binary_training_vs_rest,30.0
LogisticRegression,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,30.0
RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,60.0
SVM_RBF,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,60.0
LogisticRegression,0.9971014492753623,0.005797101449275343,0.9901216893342877,0.019756621331424463,0.9972217899640015,0.0055564200719969035,binary_training_vs_rest,60.0
RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,120.0
SVM_RBF,0.9939393939393939,0.01212121212121211,0.8984615384615384,0.20307692307692307,0.990955710955711,0.018088578088578087,binary_training_vs_rest,120.0
LogisticRegression,1.0,0.0,1.0,0.0,1.0,0.0,binary_training_vs_rest,120.0
