size_mb,bandwidth_gbps,elapsed_sec,n_iters,note
1,34.83289395356748,0.0014017820358276367,50,
4,84.6220890819996,0.0023080557584762573,50,
16,111.77656966208293,0.006989389657974243,50,
64,120.88136126641284,0.025851793587207794,50,
256,122.9619035550462,0.10165750235319138,50,
512,123.54212213355241,0.2023601308465004,50,
1024,123.83162990149563,0.40377406030893326,50,
2048,123.95721536253579,0.8067299649119377,50,
4096,124.0952384483402,1.6116653829813004,50,
1024,246.36179853912066,0.4059070870280266,50,bidirectional
