task,model,window_sec,acc_mean,acc_std,f1_macro_mean,f1_macro_std,f1_w_mean,f1_w_std
binary,RandomForest,5,0.8876164079822615,0.06421847986582599,0.8783126207781914,0.06724715183649183,0.8849881217058222,0.0651049148497223
binary,XGBoost,5,0.8742239467849224,0.0734151665362702,0.8599004405914238,0.08436530720449478,0.8689012981825647,0.07802208068123039
binary,SVM_RBF,5,0.9290354767184036,0.06163655491145252,0.9273850735776566,0.061555407983155744,0.9296976200398198,0.06072240181995401
binary,LogisticReg,5,0.9390022172949003,0.06489708736693925,0.9368247200057729,0.06557252140512879,0.9388690552134337,0.06549232362498544
threeway,RandomForest,5,0.8900496838301717,0.07845870334578237,0.7890915750915751,0.19756546463171587,0.8845487556707068,0.08171386650488947
threeway,XGBoost,5,0.885293586269196,0.07933239686432601,0.8473477763302325,0.14601207058438465,0.8790762098643998,0.08391770979651456
threeway,SVM_RBF,5,0.9341327913279134,0.08149692246590207,0.8079558732746893,0.1912050756206743,0.9316078662017755,0.08416288431903014
threeway,LogisticReg,5,0.9209214092140922,0.07885431939223073,0.8628998958434984,0.17210390871328562,0.9207241385454598,0.08034855966712151
multiclass,RandomForest,5,0.9594771241830065,0.03499021912241614,0.7721088435374149,0.19756020293120874,0.9519140989729225,0.046634893378585084
multiclass,XGBoost,5,0.9534165181224005,0.023904201904145626,0.7321296296296296,0.15752599019125024,0.9476734666930746,0.034195400111906256
multiclass,SVM_RBF,5,0.9645276292335117,0.034270987575658496,0.7987755102040816,0.19039667922583342,0.9545403615991852,0.04650986726407573
multiclass,LogisticReg,5,0.9653594771241829,0.02830902984014081,0.8,0.18708286933869706,0.9611928104575164,0.03232858725543459
binary,RandomForest,15,0.8300000000000001,0.23579652245103191,0.7607142857142857,0.29355317982906454,0.7935714285714286,0.27207066909094013
binary,XGBoost,15,0.71,0.27640549922170504,0.5985347985347984,0.3337122991689786,0.6895970695970696,0.3159622623718539
binary,SVM_RBF,15,0.78,0.22045407685048604,0.6464285714285715,0.28935184429327276,0.7221428571428571,0.25483488051389397
binary,LogisticReg,15,0.8800000000000001,0.24,0.875,0.25,0.865,0.26999999999999996
threeway,RandomForest,15,0.8300000000000001,0.23579652245103191,0.7607142857142857,0.29355317982906454,0.7935714285714286,0.27207066909094013
threeway,XGBoost,15,0.71,0.27640549922170504,0.5985347985347984,0.3337122991689786,0.6895970695970696,0.3159622623718539
threeway,SVM_RBF,15,0.78,0.22045407685048604,0.6464285714285715,0.28935184429327276,0.7221428571428571,0.25483488051389397
threeway,LogisticReg,15,0.8800000000000001,0.24,0.875,0.25,0.865,0.26999999999999996
multiclass,RandomForest,15,1.0,0.0,1.0,0.0,1.0,0.0
multiclass,XGBoost,15,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001
multiclass,SVM_RBF,15,0.8285714285714285,0.3428571428571429,0.825,0.35000000000000003,0.85,0.30000000000000004
multiclass,LogisticReg,15,0.9428571428571428,0.11428571428571428,0.8833333333333334,0.23333333333333334,0.9666666666666668,0.06666666666666667
